Time(s) Surface_Elevation(m)
36.860500 0.022216 
36.861000 0.022222 
36.861500 0.022227 
36.862000 0.022232 
36.862500 0.022238 
36.863000 0.022243 
36.863500 0.022248 
36.864000 0.022253 
36.864500 0.022258 
36.865000 0.022263 
36.865500 0.022268 
36.866000 0.022273 
36.866500 0.022277 
36.867000 0.022282 
36.867500 0.022287 
36.868000 0.022291 
36.868500 0.022296 
36.869000 0.022300 
36.869500 0.022305 
36.870000 0.022309 
36.870500 0.022314 
36.871000 0.022318 
36.871500 0.022322 
36.872000 0.022326 
36.872500 0.022330 
36.873000 0.022334 
36.873500 0.022338 
36.874000 0.022342 
36.874500 0.022346 
36.875000 0.022350 
36.875500 0.022354 
36.876000 0.022358 
36.876500 0.022361 
36.877000 0.022365 
36.877500 0.022368 
36.878000 0.022372 
36.878500 0.022375 
36.879000 0.022379 
36.879500 0.022382 
36.880000 0.022385 
36.880500 0.022388 
36.881000 0.022392 
36.881500 0.022395 
36.882000 0.022398 
36.882500 0.022401 
36.883000 0.022404 
36.883500 0.022406 
36.884000 0.022409 
36.884500 0.022412 
36.885000 0.022415 
36.885500 0.022417 
36.886000 0.022420 
36.886500 0.022422 
36.887000 0.022425 
36.887500 0.022427 
36.888000 0.022429 
36.888500 0.022432 
36.889000 0.022434 
36.889500 0.022436 
36.890000 0.022438 
36.890500 0.022440 
36.891000 0.022442 
36.891500 0.022444 
36.892000 0.022446 
36.892500 0.022447 
36.893000 0.022449 
36.893500 0.022451 
36.894000 0.022452 
36.894500 0.022454 
36.895000 0.022455 
36.895500 0.022457 
36.896000 0.022458 
36.896500 0.022460 
36.897000 0.022461 
36.897500 0.022462 
36.898000 0.022463 
36.898500 0.022464 
36.899000 0.022465 
36.899500 0.022466 
36.900000 0.022467 
36.900500 0.022468 
36.901000 0.022469 
36.901500 0.022470 
36.902000 0.022470 
36.902500 0.022471 
36.903000 0.022472 
36.903500 0.022472 
36.904000 0.022473 
36.904500 0.022473 
36.905000 0.022473 
36.905500 0.022474 
36.906000 0.022474 
36.906500 0.022474 
36.907000 0.022474 
36.907500 0.022474 
36.908000 0.022474 
36.908500 0.022474 
36.909000 0.022474 
36.909500 0.022474 
36.910000 0.022474 
36.910500 0.022473 
36.911000 0.022473 
36.911500 0.022473 
36.912000 0.022472 
36.912500 0.022472 
36.913000 0.022471 
36.913500 0.022471 
36.914000 0.022470 
36.914500 0.022469 
36.915000 0.022469 
36.915500 0.022468 
36.916000 0.022467 
36.916500 0.022466 
36.917000 0.022465 
36.917500 0.022464 
36.918000 0.022463 
36.918500 0.022462 
36.919000 0.022461 
36.919500 0.022459 
36.920000 0.022458 
36.920500 0.022457 
36.921000 0.022455 
36.921500 0.022454 
36.922000 0.022452 
36.922500 0.022451 
36.923000 0.022449 
36.923500 0.022448 
36.924000 0.022446 
36.924500 0.022444 
36.925000 0.022442 
36.925500 0.022440 
36.926000 0.022439 
36.926500 0.022437 
36.927000 0.022435 
36.927500 0.022432 
36.928000 0.022430 
36.928500 0.022428 
36.929000 0.022426 
36.929500 0.022424 
36.930000 0.022421 
36.930500 0.022419 
36.931000 0.022417 
36.931500 0.022414 
36.932000 0.022412 
36.932500 0.022409 
36.933000 0.022406 
36.933500 0.022404 
36.934000 0.022401 
36.934500 0.022398 
36.935000 0.022395 
36.935500 0.022392 
36.936000 0.022390 
36.936500 0.022387 
36.937000 0.022384 
36.937500 0.022380 
36.938000 0.022377 
36.938500 0.022374 
36.939000 0.022371 
36.939500 0.022368 
36.940000 0.022364 
36.940500 0.022361 
36.941000 0.022358 
36.941500 0.022354 
36.942000 0.022351 
36.942500 0.022347 
36.943000 0.022344 
36.943500 0.022340 
36.944000 0.022336 
36.944500 0.022332 
36.945000 0.022329 
36.945500 0.022325 
