Time(s) Surface_Elevation(m)
36.860500 0.007516 
36.861000 0.007530 
36.861500 0.007545 
36.862000 0.007560 
36.862500 0.007575 
36.863000 0.007589 
36.863500 0.007604 
36.864000 0.007619 
36.864500 0.007634 
36.865000 0.007648 
36.865500 0.007663 
36.866000 0.007678 
36.866500 0.007692 
36.867000 0.007707 
36.867500 0.007721 
36.868000 0.007736 
36.868500 0.007751 
36.869000 0.007765 
36.869500 0.007780 
36.870000 0.007795 
36.870500 0.007809 
36.871000 0.007824 
36.871500 0.007839 
36.872000 0.007853 
36.872500 0.007868 
36.873000 0.007883 
36.873500 0.007897 
36.874000 0.007912 
36.874500 0.007926 
36.875000 0.007941 
36.875500 0.007956 
36.876000 0.007970 
36.876500 0.007985 
36.877000 0.008000 
36.877500 0.008014 
36.878000 0.008029 
36.878500 0.008044 
36.879000 0.008058 
36.879500 0.008073 
36.880000 0.008087 
36.880500 0.008102 
36.881000 0.008117 
36.881500 0.008131 
36.882000 0.008146 
36.882500 0.008161 
36.883000 0.008175 
36.883500 0.008190 
36.884000 0.008205 
36.884500 0.008219 
36.885000 0.008234 
36.885500 0.008249 
36.886000 0.008263 
36.886500 0.008278 
36.887000 0.008293 
36.887500 0.008307 
36.888000 0.008322 
36.888500 0.008337 
36.889000 0.008352 
36.889500 0.008366 
36.890000 0.008381 
36.890500 0.008396 
36.891000 0.008410 
36.891500 0.008425 
36.892000 0.008440 
36.892500 0.008455 
36.893000 0.008469 
36.893500 0.008484 
36.894000 0.008499 
36.894500 0.008513 
36.895000 0.008528 
36.895500 0.008543 
36.896000 0.008558 
36.896500 0.008572 
36.897000 0.008587 
36.897500 0.008602 
36.898000 0.008617 
36.898500 0.008631 
36.899000 0.008646 
36.899500 0.008661 
36.900000 0.008676 
36.900500 0.008690 
36.901000 0.008705 
36.901500 0.008720 
36.902000 0.008735 
36.902500 0.008750 
36.903000 0.008764 
36.903500 0.008779 
36.904000 0.008794 
36.904500 0.008809 
36.905000 0.008824 
36.905500 0.008838 
36.906000 0.008853 
36.906500 0.008868 
36.907000 0.008883 
36.907500 0.008898 
36.908000 0.008912 
36.908500 0.008927 
36.909000 0.008942 
36.909500 0.008957 
36.910000 0.008972 
36.910500 0.008986 
36.911000 0.009001 
36.911500 0.009016 
36.912000 0.009031 
36.912500 0.009046 
36.913000 0.009061 
36.913500 0.009075 
36.914000 0.009090 
36.914500 0.009105 
36.915000 0.009120 
36.915500 0.009135 
36.916000 0.009150 
36.916500 0.009165 
36.917000 0.009179 
36.917500 0.009194 
36.918000 0.009209 
36.918500 0.009224 
36.919000 0.009239 
36.919500 0.009253 
36.920000 0.009268 
36.920500 0.009283 
36.921000 0.009298 
36.921500 0.009312 
36.922000 0.009327 
36.922500 0.009342 
36.923000 0.009357 
36.923500 0.009371 
36.924000 0.009386 
36.924500 0.009401 
36.925000 0.009415 
36.925500 0.009430 
36.926000 0.009445 
36.926500 0.009460 
36.927000 0.009474 
36.927500 0.009489 
36.928000 0.009504 
36.928500 0.009518 
36.929000 0.009533 
36.929500 0.009548 
36.930000 0.009562 
36.930500 0.009577 
36.931000 0.009591 
36.931500 0.009606 
36.932000 0.009621 
36.932500 0.009635 
36.933000 0.009650 
36.933500 0.009664 
36.934000 0.009679 
36.934500 0.009693 
36.935000 0.009708 
36.935500 0.009722 
36.936000 0.009737 
36.936500 0.009751 
36.937000 0.009766 
36.937500 0.009780 
36.938000 0.009795 
36.938500 0.009809 
36.939000 0.009824 
36.939500 0.009838 
36.940000 0.009853 
36.940500 0.009867 
36.941000 0.009882 
36.941500 0.009896 
36.942000 0.009910 
36.942500 0.009925 
36.943000 0.009939 
36.943500 0.009953 
36.944000 0.009968 
36.944500 0.009982 
36.945000 0.009996 
36.945500 0.010011 
36.946000 0.010025 
36.946500 0.010039 
36.947000 0.010054 
36.947500 0.010068 
36.948000 0.010082 
36.948500 0.010096 
36.949000 0.010111 
36.949500 0.010125 
36.950000 0.010139 
36.950500 0.010153 
36.951000 0.010167 
36.951500 0.010181 
36.952000 0.010196 
36.952500 0.010210 
36.953000 0.010224 
36.953500 0.010238 
36.954000 0.010252 
36.954500 0.010266 
36.955000 0.010280 
36.955500 0.010294 
36.956000 0.010308 
36.956500 0.010322 
36.957000 0.010336 
36.957500 0.010350 
36.958000 0.010364 
36.958500 0.010378 
36.959000 0.010392 
36.959500 0.010406 
36.960000 0.010420 
36.960500 0.010434 
36.961000 0.010448 
36.961500 0.010461 
36.962000 0.010475 
36.962500 0.010489 
36.963000 0.010503 
36.963500 0.010517 
36.964000 0.010530 
36.964500 0.010544 
36.965000 0.010558 
36.965500 0.010572 
36.966000 0.010585 
36.966500 0.010599 
36.967000 0.010613 
36.967500 0.010626 
36.968000 0.010640 
36.968500 0.010654 
36.969000 0.010667 
36.969500 0.010681 
36.970000 0.010694 
36.970500 0.010708 
36.971000 0.010721 
36.971500 0.010735 
36.972000 0.010748 
36.972500 0.010762 
36.973000 0.010775 
36.973500 0.010789 
36.974000 0.010802 
36.974500 0.010816 
36.975000 0.010829 
36.975500 0.010842 
36.976000 0.010856 
36.976500 0.010869 
36.977000 0.010882 
36.977500 0.010895 
36.978000 0.010909 
36.978500 0.010922 
36.979000 0.010935 
36.979500 0.010948 
36.980000 0.010962 
36.980500 0.010975 
36.981000 0.010988 
36.981500 0.011001 
36.982000 0.011014 
36.982500 0.011027 
36.983000 0.011040 
36.983500 0.011053 
36.984000 0.011066 
36.984500 0.011079 
36.985000 0.011092 
36.985500 0.011105 
36.986000 0.011118 
36.986500 0.011131 
36.987000 0.011144 
36.987500 0.011156 
36.988000 0.011169 
36.988500 0.011182 
36.989000 0.011195 
36.989500 0.011208 
36.990000 0.011220 
36.990500 0.011233 
36.991000 0.011246 
36.991500 0.011258 
36.992000 0.011271 
36.992500 0.011284 
36.993000 0.011296 
36.993500 0.011309 
36.994000 0.011321 
36.994500 0.011334 
36.995000 0.011346 
36.995500 0.011359 
36.996000 0.011371 
36.996500 0.011384 
36.997000 0.011396 
36.997500 0.011408 
36.998000 0.011421 
36.998500 0.011433 
36.999000 0.011445 
36.999500 0.011458 
37.000000 0.011470 
37.000500 0.011482 
37.001000 0.011494 
37.001500 0.011506 
37.002000 0.011519 
37.002500 0.011531 
37.003000 0.011543 
37.003500 0.011555 
37.004000 0.011567 
37.004500 0.011579 
37.005000 0.011591 
37.005500 0.011603 
37.006000 0.011615 
37.006500 0.011627 
37.007000 0.011639 
37.007500 0.011651 
37.008000 0.011663 
37.008500 0.011674 
37.009000 0.011686 
37.009500 0.011698 
37.010000 0.011710 
37.010500 0.011721 
37.011000 0.011733 
37.011500 0.011745 
37.012000 0.011756 
37.012500 0.011768 
37.013000 0.011780 
37.013500 0.011791 
37.014000 0.011803 
37.014500 0.011814 
37.015000 0.011826 
37.015500 0.011837 
37.016000 0.011849 
37.016500 0.011860 
37.017000 0.011872 
37.017500 0.011883 
37.018000 0.011894 
37.018500 0.011906 
37.019000 0.011917 
37.019500 0.011928 
37.020000 0.011939 
37.020500 0.011951 
37.021000 0.011962 
37.021500 0.011973 
37.022000 0.011984 
37.022500 0.011995 
37.023000 0.012006 
37.023500 0.012017 
37.024000 0.012028 
37.024500 0.012039 
37.025000 0.012050 
37.025500 0.012061 
37.026000 0.012072 
37.026500 0.012083 
37.027000 0.012094 
37.027500 0.012105 
37.028000 0.012116 
37.028500 0.012127 
37.029000 0.012137 
37.029500 0.012148 
37.030000 0.012159 
37.030500 0.012169 
37.031000 0.012180 
37.031500 0.012191 
37.032000 0.012201 
37.032500 0.012212 
37.033000 0.012222 
37.033500 0.012233 
37.034000 0.012243 
37.034500 0.012254 
37.035000 0.012264 
37.035500 0.012275 
37.036000 0.012285 
37.036500 0.012296 
37.037000 0.012306 
37.037500 0.012316 
37.038000 0.012326 
37.038500 0.012337 
37.039000 0.012347 
37.039500 0.012357 
37.040000 0.012367 
37.040500 0.012377 
37.041000 0.012387 
37.041500 0.012398 
37.042000 0.012408 
37.042500 0.012418 
37.043000 0.012428 
37.043500 0.012438 
37.044000 0.012447 
37.044500 0.012457 
37.045000 0.012467 
37.045500 0.012477 
37.046000 0.012487 
37.046500 0.012497 
37.047000 0.012506 
37.047500 0.012516 
37.048000 0.012526 
37.048500 0.012535 
37.049000 0.012545 
37.049500 0.012555 
37.050000 0.012564 
37.050500 0.012574 
37.051000 0.012583 
37.051500 0.012593 
37.052000 0.012602 
37.052500 0.012611 
37.053000 0.012621 
37.053500 0.012630 
37.054000 0.012640 
37.054500 0.012649 
37.055000 0.012658 
37.055500 0.012667 
37.056000 0.012676 
37.056500 0.012686 
37.057000 0.012695 
37.057500 0.012704 
37.058000 0.012713 
37.058500 0.012722 
37.059000 0.012731 
37.059500 0.012740 
37.060000 0.012749 
37.060500 0.012758 
37.061000 0.012767 
37.061500 0.012775 
37.062000 0.012784 
37.062500 0.012793 
37.063000 0.012802 
37.063500 0.012810 
37.064000 0.012819 
37.064500 0.012828 
37.065000 0.012836 
37.065500 0.012845 
37.066000 0.012853 
37.066500 0.012862 
37.067000 0.012870 
37.067500 0.012879 
37.068000 0.012887 
37.068500 0.012895 
37.069000 0.012904 
37.069500 0.012912 
37.070000 0.012920 
37.070500 0.012928 
37.071000 0.012936 
37.071500 0.012945 
37.072000 0.012953 
37.072500 0.012961 
37.073000 0.012969 
37.073500 0.012977 
37.074000 0.012985 
37.074500 0.012992 
37.075000 0.013000 
37.075500 0.013008 
37.076000 0.013016 
37.076500 0.013024 
37.077000 0.013031 
37.077500 0.013039 
37.078000 0.013047 
37.078500 0.013054 
37.079000 0.013062 
37.079500 0.013069 
37.080000 0.013077 
37.080500 0.013084 
37.081000 0.013092 
37.081500 0.013099 
37.082000 0.013106 
37.082500 0.013114 
37.083000 0.013121 
37.083500 0.013128 
37.084000 0.013136 
37.084500 0.013143 
37.085000 0.013150 
37.085500 0.013157 
37.086000 0.013164 
37.086500 0.013172 
37.087000 0.013179 
37.087500 0.013186 
37.088000 0.013193 
37.088500 0.013200 
37.089000 0.013207 
37.089500 0.013214 
37.090000 0.013221 
37.090500 0.013228 
37.091000 0.013235 
37.091500 0.013242 
37.092000 0.013249 
37.092500 0.013256 
37.093000 0.013263 
37.093500 0.013269 
37.094000 0.013276 
37.094500 0.013283 
37.095000 0.013290 
37.095500 0.013296 
37.096000 0.013303 
37.096500 0.013310 
37.097000 0.013316 
37.097500 0.013323 
37.098000 0.013330 
37.098500 0.013336 
37.099000 0.013343 
37.099500 0.013349 
37.100000 0.013355 
37.100500 0.013362 
37.101000 0.013368 
37.101500 0.013374 
37.102000 0.013381 
37.102500 0.013387 
37.103000 0.013393 
37.103500 0.013399 
37.104000 0.013406 
37.104500 0.013412 
37.105000 0.013418 
37.105500 0.013424 
37.106000 0.013430 
37.106500 0.013436 
37.107000 0.013442 
37.107500 0.013448 
37.108000 0.013454 
37.108500 0.013459 
37.109000 0.013465 
37.109500 0.013471 
37.110000 0.013477 
37.110500 0.013482 
37.111000 0.013488 
37.111500 0.013494 
37.112000 0.013499 
37.112500 0.013505 
37.113000 0.013511 
37.113500 0.013516 
37.114000 0.013522 
37.114500 0.013527 
37.115000 0.013533 
37.115500 0.013538 
37.116000 0.013543 
37.116500 0.013549 
37.117000 0.013554 
37.117500 0.013559 
37.118000 0.013564 
37.118500 0.013570 
37.119000 0.013575 
37.119500 0.013580 
37.120000 0.013585 
37.120500 0.013590 
37.121000 0.013595 
37.121500 0.013600 
37.122000 0.013605 
37.122500 0.013610 
37.123000 0.013615 
37.123500 0.013620 
37.124000 0.013625 
37.124500 0.013629 
37.125000 0.013634 
37.125500 0.013639 
37.126000 0.013644 
37.126500 0.013648 
37.127000 0.013653 
37.127500 0.013658 
37.128000 0.013662 
37.128500 0.013667 
37.129000 0.013672 
37.129500 0.013676 
37.130000 0.013681 
37.130500 0.013685 
37.131000 0.013690 
37.131500 0.013694 
37.132000 0.013698 
37.132500 0.013703 
37.133000 0.013707 
37.133500 0.013712 
37.134000 0.013716 
37.134500 0.013720 
37.135000 0.013724 
37.135500 0.013729 
37.136000 0.013733 
37.136500 0.013737 
37.137000 0.013741 
37.137500 0.013745 
37.138000 0.013749 
37.138500 0.013753 
37.139000 0.013757 
37.139500 0.013762 
37.140000 0.013766 
37.140500 0.013770 
37.141000 0.013773 
37.141500 0.013777 
37.142000 0.013781 
37.142500 0.013785 
37.143000 0.013789 
37.143500 0.013793 
37.144000 0.013797 
37.144500 0.013801 
37.145000 0.013804 
37.145500 0.013808 
37.146000 0.013812 
37.146500 0.013816 
37.147000 0.013819 
37.147500 0.013823 
37.148000 0.013827 
37.148500 0.013830 
37.149000 0.013834 
37.149500 0.013838 
37.150000 0.013841 
37.150500 0.013845 
37.151000 0.013848 
37.151500 0.013852 
37.152000 0.013855 
37.152500 0.013859 
37.153000 0.013862 
37.153500 0.013866 
37.154000 0.013869 
37.154500 0.013873 
37.155000 0.013876 
37.155500 0.013880 
37.156000 0.013883 
37.156500 0.013886 
37.157000 0.013890 
37.157500 0.013893 
37.158000 0.013897 
37.158500 0.013900 
37.159000 0.013903 
37.159500 0.013907 
37.160000 0.013910 
37.160500 0.013913 
37.161000 0.013916 
37.161500 0.013920 
37.162000 0.013923 
37.162500 0.013926 
37.163000 0.013929 
37.163500 0.013932 
37.164000 0.013936 
37.164500 0.013939 
37.165000 0.013942 
37.165500 0.013945 
37.166000 0.013948 
37.166500 0.013951 
37.167000 0.013955 
37.167500 0.013958 
37.168000 0.013961 
37.168500 0.013964 
37.169000 0.013967 
37.169500 0.013970 
37.170000 0.013973 
37.170500 0.013976 
37.171000 0.013979 
37.171500 0.013982 
37.172000 0.013985 
37.172500 0.013988 
37.173000 0.013991 
37.173500 0.013994 
37.174000 0.013997 
37.174500 0.014000 
37.175000 0.014003 
37.175500 0.014006 
37.176000 0.014009 
37.176500 0.014012 
37.177000 0.014015 
37.177500 0.014018 
37.178000 0.014021 
37.178500 0.014024 
37.179000 0.014027 
37.179500 0.014030 
37.180000 0.014033 
37.180500 0.014036 
37.181000 0.014039 
37.181500 0.014042 
37.182000 0.014044 
37.182500 0.014047 
37.183000 0.014050 
37.183500 0.014053 
37.184000 0.014056 
37.184500 0.014059 
37.185000 0.014062 
37.185500 0.014065 
37.186000 0.014068 
37.186500 0.014070 
37.187000 0.014073 
37.187500 0.014076 
37.188000 0.014079 
37.188500 0.014082 
37.189000 0.014085 
37.189500 0.014088 
37.190000 0.014091 
37.190500 0.014093 
37.191000 0.014096 
37.191500 0.014099 
37.192000 0.014102 
37.192500 0.014105 
37.193000 0.014108 
37.193500 0.014111 
37.194000 0.014113 
