Time(s) Pressure(mBar)
36.621000 14.332433 
36.621500 11.651104 
36.622000 9.956968 
36.622500 8.821687 
36.623000 8.029298 
36.623500 7.460820 
36.624000 7.046780 
36.624500 6.739834 
36.625000 6.506908 
36.625500 6.329175 
36.626000 6.192671 
36.626500 6.087076 
36.627000 6.004305 
36.627500 5.939429 
36.628000 5.887851 
36.628500 5.847005 
36.629000 5.814479 
36.629500 5.788136 
36.630000 5.766723 
36.630500 5.749132 
36.631000 5.734481 
36.631500 5.722339 
36.632000 5.712245 
36.632500 5.703827 
36.633000 5.696702 
36.633500 5.690666 
36.634000 5.685579 
36.634500 5.681218 
36.635000 5.677455 
36.635500 5.673986 
36.636000 5.670958 
36.636500 5.668204 
36.637000 5.665832 
36.637500 5.663745 
36.638000 5.661971 
36.638500 5.660442 
36.639000 5.659100 
36.639500 5.657904 
36.640000 5.656865 
36.640500 5.655983 
36.641000 5.655209 
36.641500 5.654553 
36.642000 5.653994 
36.642500 5.653553 
36.643000 5.653181 
36.643500 5.652896 
36.644000 5.652749 
36.644500 5.652671 
36.645000 5.652593 
36.645500 5.652700 
36.646000 5.652818 
36.646500 5.652965 
36.647000 5.653132 
36.647500 5.653318 
36.648000 5.653602 
36.648500 5.653925 
36.649000 5.654298 
36.649500 5.654749 
36.650000 5.655307 
36.650500 5.655925 
36.651000 5.656493 
36.651500 5.657140 
36.652000 5.657806 
36.652500 5.658531 
36.653000 5.659257 
36.653500 5.659933 
36.654000 5.660638 
36.654500 5.661422 
36.655000 5.662206 
36.655500 5.663000 
36.656000 5.663902 
36.656500 5.664725 
36.657000 5.665568 
36.657500 5.666440 
36.658000 5.667361 
36.658500 5.668282 
36.659000 5.669253 
36.659500 5.670223 
36.660000 5.671222 
36.660500 5.672153 
36.661000 5.673153 
36.661500 5.674182 
36.662000 5.675103 
36.662500 5.676054 
36.663000 5.677024 
36.663500 5.678014 
36.664000 5.679033 
36.664500 5.680052 
36.665000 5.681062 
36.665500 5.682071 
36.666000 5.683080 
36.666500 5.684129 
36.667000 5.685168 
36.667500 5.686236 
36.668000 5.687275 
36.668500 5.688314 
36.669000 5.689382 
36.669500 5.690421 
36.670000 5.691450 
36.670500 5.692518 
36.671000 5.693527 
36.671500 5.694625 
36.672000 5.695713 
36.672500 5.696722 
36.673000 5.697839 
36.673500 5.698898 
36.674000 5.699985 
36.674500 5.701044 
36.675000 5.702122 
36.675500 5.703200 
36.676000 5.704307 
36.676500 5.705356 
36.677000 5.706453 
36.677500 5.707522 
36.678000 5.708629 
36.678500 5.709697 
36.679000 5.710765 
36.679500 5.711892 
36.680000 5.712951 
36.680500 5.714009 
36.681000 5.715077 
36.681500 5.716126 
36.682000 5.717165 
36.682500 5.718223 
36.683000 5.719291 
36.683500 5.720330 
36.684000 5.721330 
36.684500 5.722378 
36.685000 5.723466 
36.685500 5.724505 
36.686000 5.725622 
36.686500 5.726690 
36.687000 5.727788 
36.687500 5.728886 
36.688000 5.729973 
36.688500 5.731032 
36.689000 5.732129 
36.689500 5.733198 
36.690000 5.734256 
36.690500 5.735344 
36.691000 5.736383 
36.691500 5.737421 
36.692000 5.738460 
36.692500 5.739538 
36.693000 5.740597 
36.693500 5.741655 
36.694000 5.742704 
36.694500 5.743772 
36.695000 5.744771 
36.695500 5.745830 
36.696000 5.746908 
36.696500 5.747996 
36.697000 5.749015 
36.697500 5.750083 
36.698000 5.751141 
36.698500 5.752219 
36.699000 5.753258 
36.699500 5.754287 
36.700000 5.755326 
36.700500 5.756335 
36.701000 5.757374 
36.701500 5.758403 
36.702000 5.759393 
36.702500 5.760393 
36.703000 5.761422 
36.703500 5.762411 
36.704000 5.763489 
36.704500 5.764469 
36.705000 5.765508 
36.705500 5.766469 
36.706000 5.767537 
36.706500 5.768527 
36.707000 5.769585 
36.707500 5.770585 
36.708000 5.771682 
36.708500 5.772643 
36.709000 5.773721 
36.709500 5.774652 
36.710000 5.775730 
36.710500 5.776749 
36.711000 5.777807 
36.711500 5.778807 
36.712000 5.779826 
36.712500 5.780728 
36.713000 5.781737 
36.713500 5.782737 
36.714000 5.783785 
36.714500 5.784765 
36.715000 5.785833 
36.715500 5.786794 
36.716000 5.787813 
36.716500 5.788822 
36.717000 5.789832 
36.717500 5.790753 
36.718000 5.791782 
36.718500 5.792742 
36.719000 5.793771 
36.719500 5.794732 
36.720000 5.795633 
36.720500 5.796584 
36.721000 5.797564 
36.721500 5.798515 
36.722000 5.799465 
36.722500 5.800426 
36.723000 5.801386 
36.723500 5.802327 
36.724000 5.803297 
36.724500 5.804257 
36.725000 5.805218 
36.725500 5.806119 
36.726000 5.807090 
36.726500 5.808070 
36.727000 5.809020 
36.727500 5.809912 
36.728000 5.810931 
36.728500 5.811852 
36.729000 5.812823 
36.729500 5.813754 
36.730000 5.814714 
36.730500 5.815557 
36.731000 5.816537 
36.731500 5.817419 
36.732000 5.818438 
36.732500 5.819349 
36.733000 5.820349 
36.733500 5.821202 
36.734000 5.822133 
36.734500 5.822975 
36.735000 5.823906 
36.735500 5.824808 
36.736000 5.825768 
36.736500 5.826719 
36.737000 5.827650 
36.737500 5.828552 
36.738000 5.829443 
36.738500 5.830414 
36.739000 5.831286 
36.739500 5.832187 
36.740000 5.833079 
36.740500 5.833991 
36.741000 5.834833 
36.741500 5.835666 
36.742000 5.836548 
36.742500 5.837411 
36.743000 5.838312 
36.743500 5.839136 
36.744000 5.840135 
36.744500 5.841027 
