Time(s) Pressure(mBar)
36.621000 -4.188639 
36.621500 -3.995579 
36.622000 -3.935962 
36.622500 -3.916108 
36.623000 -3.918832 
36.623500 -3.931315 
36.624000 -3.944603 
36.624500 -3.957495 
36.625000 -3.970431 
36.625500 -3.983478 
36.626000 -3.996381 
36.626500 -4.009026 
36.627000 -4.021487 
36.627500 -4.033413 
36.628000 -4.045676 
36.628500 -4.057146 
36.629000 -4.068646 
36.629500 -4.080162 
36.630000 -4.091385 
36.630500 -4.102079 
36.631000 -4.112670 
36.631500 -4.122602 
36.632000 -4.131939 
36.632500 -4.141157 
36.633000 -4.150667 
36.633500 -4.159795 
36.634000 -4.168658 
36.634500 -4.177533 
36.635000 -4.184192 
36.635500 -4.185524 
36.636000 -4.191429 
36.636500 -4.198838 
36.637000 -4.206103 
36.637500 -4.213138 
36.638000 -4.220841 
36.638500 -4.227913 
36.639000 -4.234842 
36.639500 -4.242122 
36.640000 -4.249266 
36.640500 -4.256000 
36.641000 -4.262631 
36.641500 -4.269302 
36.642000 -4.276548 
36.642500 -4.283182 
36.643000 -4.290090 
36.643500 -4.296967 
36.644000 -4.303504 
36.644500 -4.310069 
36.645000 -4.317597 
36.645500 -4.324195 
36.646000 -4.330796 
36.646500 -4.337554 
36.647000 -4.344288 
36.647500 -4.350972 
36.648000 -4.357489 
36.648500 -4.364167 
36.649000 -4.371463 
36.649500 -4.378607 
36.650000 -4.385229 
36.650500 -4.391642 
36.651000 -4.398372 
36.651500 -4.404975 
36.652000 -4.411613 
36.652500 -4.418022 
36.653000 -4.424616 
36.653500 -4.431483 
36.654000 -4.438240 
36.654500 -4.444435 
36.655000 -4.450697 
36.655500 -4.456967 
36.656000 -4.463066 
36.656500 -4.469646 
36.657000 -4.476686 
36.657500 -4.483199 
36.658000 -4.489348 
36.658500 -4.495671 
36.659000 -4.501726 
36.659500 -4.507720 
36.660000 -4.513773 
36.660500 -4.520276 
36.661000 -4.526462 
36.661500 -4.532548 
36.662000 -4.538736 
36.662500 -4.544847 
36.663000 -4.550893 
36.663500 -4.556878 
36.664000 -4.562879 
36.664500 -4.568722 
36.665000 -4.574819 
36.665500 -4.580801 
36.666000 -4.587006 
36.666500 -4.592840 
36.667000 -4.598564 
36.667500 -4.603874 
36.668000 -4.609694 
36.668500 -4.615068 
36.669000 -4.620593 
36.669500 -4.626068 
36.670000 -4.631910 
36.670500 -4.637184 
36.671000 -4.642773 
36.671500 -4.647816 
36.672000 -4.653251 
36.672500 -4.658957 
36.673000 -4.664441 
36.673500 -4.670073 
36.674000 -4.675171 
36.674500 -4.681198 
36.675000 -4.685873 
36.675500 -4.691618 
36.676000 -4.696106 
36.676500 -4.702709 
36.677000 -4.706187 
36.677500 -4.712284 
36.678000 -4.716373 
36.678500 -4.721335 
36.679000 -4.727366 
36.679500 -4.729824 
36.680000 -4.737919 
36.680500 -4.738376 
36.681000 -4.748639 
36.681500 -4.746625 
36.682000 -4.759148 
36.682500 -4.754883 
36.683000 -4.769528 
36.683500 -4.762989 
36.684000 -4.779991 
36.684500 -4.771743 
36.685000 -4.789818 
36.685500 -4.779742 
36.686000 -4.799211 
36.686500 -4.787463 
36.687000 -4.808559 
36.687500 -4.794988 
36.688000 -4.817611 
36.688500 -4.802480 
36.689000 -4.826696 
36.689500 -4.809793 
36.690000 -4.835626 
36.690500 -4.816917 
36.691000 -4.844764 
36.691500 -4.824099 
36.692000 -4.854035 
36.692500 -4.830577 
36.693000 -4.862736 
36.693500 -4.836701 
36.694000 -4.871384 
36.694500 -4.842824 
36.695000 -4.880355 
36.695500 -4.848884 
36.696000 -4.888832 
36.696500 -4.854216 
36.697000 -4.897082 
36.697500 -4.859506 
36.698000 -4.905333 
36.698500 -4.864753 
36.699000 -4.912871 
36.699500 -4.870206 
36.700000 -4.920229 
36.700500 -4.875668 
36.701000 -4.926794 
36.701500 -4.882155 
36.702000 -4.932645 
