Time(s) Pressure(mBar)
36.621000 -7.458837 
36.621500 -3.755363 
36.622000 -1.541956 
36.622500 -0.102488 
36.623000 0.842103 
36.623500 1.519328 
36.624000 2.031476 
36.624500 2.415822 
36.625000 2.711792 
36.625500 2.939397 
36.626000 3.112749 
36.626500 3.246588 
36.627000 3.347871 
36.627500 3.423958 
36.628000 3.480386 
36.628500 3.520949 
36.629000 3.548937 
36.629500 3.559100 
36.630000 3.557738 
36.630500 3.561119 
36.631000 3.562344 
36.631500 3.561256 
36.632000 3.560266 
36.632500 3.556630 
36.633000 3.550064 
36.633500 3.541078 
36.634000 3.529778 
36.634500 3.516245 
36.635000 3.500849 
36.635500 3.482797 
36.636000 3.464599 
36.636500 3.444646 
36.637000 3.424379 
36.637500 3.403368 
36.638000 3.381142 
36.638500 3.358984 
36.639000 3.335542 
36.639500 3.310386 
36.640000 3.289571 
36.640500 3.269706 
36.641000 3.249851 
36.641500 3.229301 
36.642000 3.206614 
36.642500 3.183956 
36.643000 3.160407 
36.643500 3.137710 
36.644000 3.114562 
36.644500 3.091836 
36.645000 3.067140 
36.645500 3.042914 
36.646000 3.018356 
36.646500 2.993630 
36.647000 2.968660 
36.647500 2.943199 
36.648000 2.917592 
36.648500 2.891759 
36.649000 2.866083 
36.649500 2.840946 
36.650000 2.816162 
36.650500 2.791917 
36.651000 2.767250 
36.651500 2.742603 
36.652000 2.717770 
36.652500 2.693103 
36.653000 2.668613 
36.653500 2.644054 
36.654000 2.619760 
36.654500 2.601179 
36.655000 2.581501 
36.655500 2.560735 
36.656000 2.539508 
36.656500 2.517037 
36.657000 2.494036 
36.657500 2.470477 
36.658000 2.448094 
36.658500 2.424868 
36.659000 2.402847 
36.659500 2.381424 
36.660000 2.359374 
36.660500 2.336834 
36.661000 2.315019 
36.661500 2.292617 
36.662000 2.270096 
36.662500 2.248017 
36.663000 2.225937 
36.663500 2.204250 
36.664000 2.183072 
36.664500 2.162061 
36.665000 2.141265 
36.665500 2.121322 
36.666000 2.102604 
36.666500 2.081525 
36.667000 2.061974 
36.667500 2.042501 
36.668000 2.023489 
36.668500 2.004879 
36.669000 1.986033 
36.669500 1.967443 
36.670000 1.949127 
36.670500 1.931575 
36.671000 1.914817 
36.671500 1.897696 
36.672000 1.881330 
36.672500 1.864876 
36.673000 1.848187 
36.673500 1.832193 
36.674000 1.816346 
