Time(s) Pressure(mBar)
36.621000 14.554788 
36.621500 11.346043 
36.622000 9.390080 
36.622500 8.108221 
36.623000 7.228426 
36.623500 6.606626 
36.624000 6.163754 
36.624500 5.841040 
36.625000 5.593600 
36.625500 5.404675 
36.626000 5.260184 
36.626500 5.148680 
36.627000 5.060303 
36.627500 4.990860 
36.628000 4.934716 
36.628500 4.890205 
36.629000 4.854748 
36.629500 4.825466 
36.630000 4.801289 
36.630500 4.780474 
36.631000 4.762344 
36.631500 4.746791 
36.632000 4.733463 
36.632500 4.722105 
36.633000 4.712217 
36.633500 4.703564 
36.634000 4.696194 
36.634500 4.689746 
36.635000 4.684071 
36.635500 4.678427 
36.636000 4.673262 
36.636500 4.668440 
36.637000 4.664187 
36.637500 4.660326 
36.638000 4.657200 
36.638500 4.654387 
36.639000 4.651820 
36.639500 4.649575 
36.640000 4.647478 
36.640500 4.645489 
36.641000 4.643646 
36.641500 4.641990 
36.642000 4.640648 
36.642500 4.639383 
36.643000 4.638266 
36.643500 4.637227 
36.644000 4.636443 
36.644500 4.635728 
36.645000 4.635160 
36.645500 4.634846 
36.646000 4.634474 
36.646500 4.634131 
36.647000 4.633768 
36.647500 4.633415 
36.648000 4.633229 
36.648500 4.633160 
36.649000 4.633200 
36.649500 4.633415 
36.650000 4.633797 
36.650500 4.634258 
36.651000 4.634660 
36.651500 4.635179 
36.652000 4.635728 
36.652500 4.636326 
36.653000 4.636914 
36.653500 4.637394 
36.654000 4.637904 
36.654500 4.638452 
36.655000 4.638972 
36.655500 4.639540 
36.656000 4.640314 
36.656500 4.641020 
36.657000 4.641755 
36.657500 4.642539 
36.658000 4.643343 
36.658500 4.644234 
36.659000 4.645185 
36.659500 4.646116 
36.660000 4.647067 
36.660500 4.647949 
36.661000 4.648929 
36.661500 4.649850 
36.662000 4.650663 
36.662500 4.651535 
36.663000 4.652457 
36.663500 4.653388 
36.664000 4.654319 
36.664500 4.655279 
36.665000 4.656249 
36.665500 4.657229 
36.666000 4.658209 
36.666500 4.659238 
36.667000 4.660228 
36.667500 4.661247 
36.668000 4.662198 
36.668500 4.663168 
36.669000 4.664177 
36.669500 4.665157 
36.670000 4.666118 
36.670500 4.667127 
36.671000 4.668068 
36.671500 4.669087 
36.672000 4.670126 
36.672500 4.671145 
36.673000 4.672223 
36.673500 4.673242 
36.674000 4.674360 
36.674500 4.675428 
36.675000 4.676467 
36.675500 4.677525 
36.676000 4.678603 
36.676500 4.679612 
36.677000 4.680641 
36.677500 4.681631 
36.678000 4.682739 
36.678500 4.683748 
36.679000 4.684787 
36.679500 4.685845 
36.680000 4.686855 
36.680500 4.687835 
36.681000 4.688815 
36.681500 4.689765 
36.682000 4.690726 
36.682500 4.691666 
36.683000 4.692656 
36.683500 4.693597 
36.684000 4.694538 
36.684500 4.695488 
36.685000 4.696498 
36.685500 4.697458 
36.686000 4.698536 
36.686500 4.699536 
36.687000 4.700594 
36.687500 4.701653 
36.688000 4.702711 
36.688500 4.703740 
36.689000 4.704789 
36.689500 4.705798 
36.690000 4.706729 
36.690500 4.707768 
36.691000 4.708718 
36.691500 4.709659 
36.692000 4.710600 
36.692500 4.711590 
36.693000 4.712560 
36.693500 4.713530 
36.694000 4.714481 
36.694500 4.715471 
36.695000 4.716382 
36.695500 4.717372 
36.696000 4.718332 
36.696500 4.719351 
36.697000 4.720273 
36.697500 4.721282 
36.698000 4.722233 
36.698500 4.723242 
36.699000 4.724153 
36.699500 4.725104 
36.700000 4.726055 
36.700500 4.726976 
36.701000 4.727887 
36.701500 4.728818 
36.702000 4.729700 
36.702500 4.730602 
36.703000 4.731513 
36.703500 4.732405 
36.704000 4.733375 
36.704500 4.734247 
36.705000 4.735169 
36.705500 4.736051 
36.706000 4.737011 
36.706500 4.737942 
36.707000 4.738912 
36.707500 4.739824 
36.708000 4.740813 
36.708500 4.741725 
