Time(s) Pressure(mBar)
36.621000 15.922182 
36.621500 12.653324 
36.622000 10.649282 
36.622500 9.326968 
36.623000 8.413167 
36.623500 7.763231 
36.624000 7.298339 
36.624500 6.957573 
36.625000 6.693787 
36.625500 6.491750 
36.626000 6.337086 
36.626500 6.217634 
36.627000 6.122760 
36.627500 6.048496 
36.628000 5.988540 
36.628500 5.941411 
36.629000 5.904260 
36.629500 5.873801 
36.630000 5.848997 
36.630500 5.827751 
36.631000 5.809464 
36.631500 5.794010 
36.632000 5.781034 
36.632500 5.770274 
36.633000 5.761082 
36.633500 5.753202 
36.634000 5.746705 
36.634500 5.741168 
36.635000 5.736435 
36.635500 5.731593 
36.636000 5.727262 
36.636500 5.723254 
36.637000 5.719833 
36.637500 5.716815 
36.638000 5.714630 
36.638500 5.712709 
36.639000 5.711004 
36.639500 5.709622 
36.640000 5.708338 
36.640500 5.707123 
36.641000 5.706015 
36.641500 5.705084 
36.642000 5.704506 
36.642500 5.703957 
36.643000 5.703546 
36.643500 5.703193 
36.644000 5.703095 
36.644500 5.703046 
36.645000 5.703164 
36.645500 5.703526 
36.646000 5.703801 
36.646500 5.704065 
36.647000 5.704300 
36.647500 5.704516 
36.648000 5.704918 
36.648500 5.705427 
36.649000 5.706084 
36.649500 5.706917 
36.650000 5.707926 
36.650500 5.708985 
36.651000 5.709975 
36.651500 5.711092 
36.652000 5.712219 
36.652500 5.713385 
36.653000 5.714532 
36.653500 5.715561 
36.654000 5.716599 
36.654500 5.717658 
36.655000 5.718677 
36.655500 5.719765 
36.656000 5.721058 
36.656500 5.722283 
36.657000 5.723557 
36.657500 5.724880 
36.658000 5.726194 
36.658500 5.727615 
36.659000 5.729085 
36.659500 5.730535 
36.660000 5.731995 
36.660500 5.733387 
36.661000 5.734876 
36.661500 5.736288 
36.662000 5.737581 
36.662500 5.738934 
36.663000 5.740335 
36.663500 5.741756 
36.664000 5.743157 
36.664500 5.744608 
36.665000 5.746058 
36.665500 5.747528 
36.666000 5.748988 
36.666500 5.750478 
36.667000 5.751948 
36.667500 5.753418 
36.668000 5.754810 
36.668500 5.756221 
36.669000 5.757671 
36.669500 5.759092 
36.670000 5.760503 
36.670500 5.761944 
36.671000 5.763316 
36.671500 5.764786 
36.672000 5.766266 
36.672500 5.767726 
36.673000 5.769265 
36.673500 5.770735 
36.674000 5.772303 
36.674500 5.773822 
36.675000 5.775311 
36.675500 5.776801 
36.676000 5.778300 
36.676500 5.779741 
36.677000 5.781191 
36.677500 5.782593 
36.678000 5.784121 
36.678500 5.785542 
36.679000 5.786983 
36.679500 5.788453 
36.680000 5.789864 
36.680500 5.791256 
36.681000 5.792608 
36.681500 5.793951 
36.682000 5.795303 
36.682500 5.796646 
36.683000 5.798008 
36.683500 5.799351 
36.684000 5.800693 
36.684500 5.802046 
36.685000 5.803447 
36.685500 5.804799 
36.686000 5.806260 
36.686500 5.807651 
36.687000 5.809092 
36.687500 5.810552 
36.688000 5.811983 
36.688500 5.813404 
36.689000 5.814835 
36.689500 5.816216 
36.690000 5.817520 
36.690500 5.818931 
36.691000 5.820244 
36.691500 5.821548 
36.692000 5.822841 
36.692500 5.824184 
36.693000 5.825507 
36.693500 5.826820 
36.694000 5.828123 
36.694500 5.829446 
36.695000 5.830701 
36.695500 5.832024 
36.696000 5.833327 
36.696500 5.834670 
36.697000 5.835934 
36.697500 5.837267 
36.698000 5.838551 
36.698500 5.839864 
36.699000 5.841108 
36.699500 5.842363 
36.700000 5.843617 
36.700500 5.844842 
36.701000 5.846067 
36.701500 5.847292 
36.702000 5.848478 
36.702500 5.849674 
36.703000 5.850879 
36.703500 5.852055 
36.704000 5.853309 
36.704500 5.854456 
36.705000 5.855652 
36.705500 5.856818 
36.706000 5.858053 
36.706500 5.859248 
36.707000 5.860493 
36.707500 5.861669 
36.708000 5.862913 
36.708500 5.864089 
36.709000 5.865305 
36.709500 5.866432 
36.710000 5.867676 
36.710500 5.868862 
36.711000 5.870077 
36.711500 5.871243 
36.712000 5.872410 
36.712500 5.873468 
36.713000 5.874615 
36.713500 5.875751 
36.714000 5.876908 
36.714500 5.878035 
36.715000 5.879201 
36.715500 5.880299 
36.716000 5.881406 
36.716500 5.882562 
36.717000 5.883660 
36.717500 5.884689 
36.718000 5.885796 
36.718500 5.886845 
36.719000 5.887933 
36.719500 5.888981 
36.720000 5.889922 
36.720500 5.890892 
36.721000 5.891882 
36.721500 5.892882 
36.722000 5.893852 
36.722500 5.894871 
36.723000 5.895851 
36.723500 5.896870 
36.724000 5.897860 
36.724500 5.898860 
36.725000 5.899859 
36.725500 5.900800 
36.726000 5.901810 
36.726500 5.902839 
36.727000 5.903828 
36.727500 5.904779 
36.728000 5.905808 
36.728500 5.906768 
36.729000 5.907739 
36.729500 5.908699 
36.730000 5.909669 
36.730500 5.910551 
36.731000 5.911551 
36.731500 5.912452 
36.732000 5.913462 
36.732500 5.914383 
36.733000 5.915383 
36.733500 5.916245 
36.734000 5.917147 
36.734500 5.917980 
36.735000 5.918881 
36.735500 5.919763 
36.736000 5.920694 
36.736500 5.921635 
36.737000 5.922537 
36.737500 5.923419 
36.738000 5.924261 
36.738500 5.925163 
36.739000 5.925957 
36.739500 5.926770 
36.740000 5.927593 
36.740500 5.928426 
36.741000 5.929201 
36.741500 5.929945 
36.742000 5.930729 
36.742500 5.931513 
36.743000 5.932297 
36.743500 5.933062 
36.744000 5.933905 
36.744500 5.934718 
36.745000 5.935541 
36.745500 5.936286 
36.746000 5.937050 
36.746500 5.937736 
36.747000 5.938471 
36.747500 5.939187 
36.748000 5.939961 
36.748500 5.940294 
36.749000 5.941362 
36.749500 5.942058 
36.750000 5.942862 
36.750500 5.943538 
36.751000 5.944302 
36.751500 5.944890 
36.752000 5.945645 
36.752500 5.946262 
36.753000 5.947027 
36.753500 5.947576 
36.754000 5.948311 
36.754500 5.948869 
36.755000 5.949634 
36.755500 5.950173 
36.756000 5.950917 
36.756500 5.951466 
36.757000 5.952152 
36.757500 5.952711 
