0.0005  (-0.000375 0 0) 
0.001  (-0.00075 0 0) 
0.0015  (-0.001125 0 0) 
0.002  (-0.0015 0 0) 
0.0025  (-0.001875 0 0) 
0.003  (-0.00225 0 0) 
0.0035  (-0.002625 0 0) 
0.004  (-0.003 0 0) 
0.0045  (-0.003375 0 0) 
0.005  (-0.00375 0 0) 
0.0055  (-0.004125 0 0) 
0.006  (-0.0045 0 0) 
0.0065  (-0.004875 0 0) 
0.007  (-0.00525 0 0) 
0.0075  (-0.005625 0 0) 
0.008  (-0.006 0 0) 
0.0085  (-0.006375 0 0) 
0.009  (-0.00675 0 0) 
0.0095  (-0.007125 0 0) 
0.01  (-0.0075 0 0) 
0.0105  (-0.007875 0 0) 
0.011  (-0.00825 0 0) 
0.0115  (-0.008625 0 0) 
0.012  (-0.009 0 0) 
0.0125  (-0.009375 0 0) 
0.013  (-0.00975 0 0) 
0.0135  (-0.010125 0 0) 
0.014  (-0.0105 0 0) 
0.0145  (-0.010875 0 0) 
0.015  (-0.01125 0 0) 
0.0155  (-0.011625 0 0) 
0.016  (-0.012 0 0) 
0.0165  (-0.012375 0 0) 
0.017  (-0.01275 0 0) 
0.0175  (-0.013125 0 0) 
0.018  (-0.0135 0 0) 
0.0185  (-0.013875 0 0) 
0.019  (-0.01425 0 0) 
0.0195  (-0.014625 0 0) 
0.02  (-0.015 0 0) 
0.0205  (-0.015375 0 0) 
0.021  (-0.01575 0 0) 
0.0215  (-0.016125 0 0) 
0.022  (-0.0165 0 0) 
0.0225  (-0.016875 0 0) 
0.023  (-0.01725 0 0) 
0.0235  (-0.017625 0 0) 
0.024  (-0.018 0 0) 
0.0245  (-0.018375 0 0) 
0.025  (-0.01875 0 0) 
0.0255  (-0.019125 0 0) 
0.026  (-0.0195 0 0) 
0.0265  (-0.019875 0 0) 
0.027  (-0.02025 0 0) 
0.0275  (-0.020625 0 0) 
0.028  (-0.021 0 0) 
0.0285  (-0.021375 0 0) 
0.029  (-0.02175 0 0) 
0.0295  (-0.022125 0 0) 
0.03  (-0.0225 0 0) 
0.0305  (-0.022875 0 0) 
0.031  (-0.02325 0 0) 
0.0315  (-0.023625 0 0) 
0.032  (-0.024 0 0) 
0.0325  (-0.024375 0 0) 
0.033  (-0.02475 0 0) 
0.0335  (-0.025125 0 0) 
0.034  (-0.0255 0 0) 
0.0345  (-0.025875 0 0) 
0.035  (-0.02625 0 0) 
0.0355  (-0.026625 0 0) 
0.036  (-0.027 0 0) 
0.0365  (-0.027375 0 0) 
0.037  (-0.02775 0 0) 
0.0375  (-0.028125 0 0) 
0.038  (-0.0285 0 0) 
0.0385  (-0.028875 0 0) 
0.039  (-0.02925 0 0) 
0.0395  (-0.029625 0 0) 
0.04  (-0.03 0 0) 
0.0405  (-0.030375 0 0) 
0.041  (-0.03075 0 0) 
0.0415  (-0.031125 0 0) 
0.042  (-0.0315 0 0) 
0.0425  (-0.031875 0 0) 
0.043  (-0.03225 0 0) 
0.0435  (-0.032625 0 0) 
0.044  (-0.033 0 0) 
0.0445  (-0.033375 0 0) 
0.045  (-0.03375 0 0) 
0.0455  (-0.034125 0 0) 
0.046  (-0.0345 0 0) 
0.0465  (-0.034875 0 0) 
0.047  (-0.03525 0 0) 
0.0475  (-0.035625 0 0) 
0.048  (-0.036 0 0) 
0.0485  (-0.036375 0 0) 
0.049  (-0.03675 0 0) 
0.0495  (-0.037125 0 0) 
0.05  (-0.0375 0 0) 
0.0505  (-0.037875 0 0) 
0.051  (-0.03825 0 0) 
0.0515  (-0.038625 0 0) 
0.052  (-0.039 0 0) 
0.0525  (-0.039375 0 0) 
0.053  (-0.03975 0 0) 
0.0535  (-0.040125 0 0) 
0.054  (-0.0405 0 0) 
0.0545  (-0.040875 0 0) 
0.055  (-0.04125 0 0) 
0.0555  (-0.041625 0 0) 
0.056  (-0.042 0 0) 
0.0565  (-0.042375 0 0) 
0.057  (-0.04275 0 0) 
0.0575  (-0.043125 0 0) 
0.058  (-0.0435 0 0) 
0.0585  (-0.043875 0 0) 
0.059  (-0.04425 0 0) 
0.0595  (-0.044625 0 0) 
0.06  (-0.045 0 0) 
0.0605  (-0.045375 0 0) 
0.061  (-0.04575 0 0) 
0.0615  (-0.046125 0 0) 
0.062  (-0.0465 0 0) 
0.0625  (-0.046875 0 0) 
0.063  (-0.04725 0 0) 
0.0635  (-0.047625 0 0) 
0.064  (-0.048 0 0) 
0.0645  (-0.048375 0 0) 
0.065  (-0.04875 0 0) 
0.0655  (-0.049125 0 0) 
0.066  (-0.0495 0 0) 
0.0665  (-0.049875 0 0) 
0.067  (-0.05025 0 0) 
0.0675  (-0.050625 0 0) 
0.068  (-0.051 0 0) 
0.0685  (-0.051375 0 0) 
0.069  (-0.05175 0 0) 
0.0695  (-0.052125 0 0) 
0.07  (-0.0525 0 0) 
0.0705  (-0.052875 0 0) 
0.071  (-0.05325 0 0) 
0.0715  (-0.053625 0 0) 
0.072  (-0.054 0 0) 
0.0725  (-0.054375 0 0) 
0.073  (-0.05475 0 0) 
0.0735  (-0.055125 0 0) 
0.074  (-0.0555 0 0) 
0.0745  (-0.055875 0 0) 
0.075  (-0.05625 0 0) 
0.0755  (-0.056625 0 0) 
0.076  (-0.057 0 0) 
0.0765  (-0.057375 0 0) 
0.077  (-0.05775 0 0) 
0.0775  (-0.058125 0 0) 
0.078  (-0.0585 0 0) 
0.0785  (-0.058875 0 0) 
0.079  (-0.05925 0 0) 
0.0795  (-0.059625 0 0) 
0.08  (-0.06 0 0) 
0.0805  (-0.060375 0 0) 
0.081  (-0.06075 0 0) 
0.0815  (-0.061125 0 0) 
0.082  (-0.0615 0 0) 
0.0825  (-0.061875 0 0) 
0.083  (-0.06225 0 0) 
0.0835  (-0.062625 0 0) 
0.084  (-0.063 0 0) 
0.0845  (-0.063375 0 0) 
0.085  (-0.06375 0 0) 
0.0855  (-0.064125 0 0) 
0.086  (-0.0645 0 0) 
0.0865  (-0.064875 0 0) 
0.087  (-0.06525 0 0) 
0.0875  (-0.065625 0 0) 
0.088  (-0.066 0 0) 
0.0885  (-0.066375 0 0) 
0.089  (-0.06675 0 0) 
0.0895  (-0.067125 0 0) 
0.09  (-0.0675 0 0) 
0.0905  (-0.067875 0 0) 
0.091  (-0.06825 0 0) 
0.0915  (-0.068625 0 0) 
0.092  (-0.069 0 0) 
0.0925  (-0.069375 0 0) 
0.093  (-0.06975 0 0) 
0.0935  (-0.070125 0 0) 
0.094  (-0.0705 0 0) 
0.0945  (-0.070875 0 0) 
0.095  (-0.07125 0 0) 
0.0955  (-0.071625 0 0) 
0.096  (-0.072 0 0) 
0.0965  (-0.072375 0 0) 
0.097  (-0.07275 0 0) 
0.0975  (-0.073125 0 0) 
0.098  (-0.0735 0 0) 
0.0985  (-0.073875 0 0) 
0.099  (-0.07425 0 0) 
0.0995  (-0.074625 0 0) 
0.1  (-0.075 0 0) 
0.1005  (-0.075375 0 0) 
0.101  (-0.07575 0 0) 
0.1015  (-0.076125 0 0) 
0.102  (-0.0765 0 0) 
0.1025  (-0.076875 0 0) 
0.103  (-0.07725 0 0) 
0.1035  (-0.077625 0 0) 
0.104  (-0.078 0 0) 
0.1045  (-0.078375 0 0) 
0.105  (-0.07875 0 0) 
0.1055  (-0.079125 0 0) 
0.106  (-0.0795 0 0) 
0.1065  (-0.079875 0 0) 
0.107  (-0.08025 0 0) 
0.1075  (-0.080625 0 0) 
0.108  (-0.081 0 0) 
0.1085  (-0.081375 0 0) 
0.109  (-0.08175 0 0) 
