Time(s) Pressure(mBar)
36.862000 0.176048 
36.863000 0.154341 
36.864000 0.155461 
36.865000 0.158204 
36.866000 0.158677 
36.867000 0.157532 
36.868000 0.155834 
36.869000 0.153696 
36.870000 0.150999 
36.871000 0.147599 
36.872000 0.143647 
36.873000 0.138934 
36.874000 0.134124 
36.875000 0.129247 
36.876000 0.124307 
36.877000 0.119262 
36.878000 0.114246 
36.879000 0.109180 
36.880000 0.104104 
36.881000 0.099000 
36.882000 0.093805 
36.883000 0.088601 
36.884000 0.083334 
36.885000 0.078073 
36.886000 0.072690 
36.887000 0.067564 
36.888000 0.062032 
36.889000 0.056690 
36.890000 0.052859 
36.891000 0.048335 
36.892000 0.043477 
36.893000 0.038462 
36.894000 0.033358 
36.895000 0.028291 
36.896000 0.023245 
36.897000 0.018095 
36.898000 0.012932 
36.899000 0.007826 
36.900000 0.002626 
36.901000 -0.002552 
36.902000 -0.007676 
36.903000 -0.012828 
36.904000 -0.017909 
36.905000 -0.023021 
36.906000 -0.028157 
36.907000 -0.033249 
36.908000 -0.038455 
36.909000 -0.043616 
36.910000 -0.048764 
36.911000 -0.053888 
36.912000 -0.058966 
36.913000 -0.064097 
36.914000 -0.069130 
36.915000 -0.074246 
36.916000 -0.079191 
36.917000 -0.084145 
36.918000 -0.089160 
36.919000 -0.094139 
36.920000 -0.099148 
36.921000 -0.104089 
36.922000 -0.109157 
36.923000 -0.114161 
36.924000 -0.119072 
36.925000 -0.123968 
36.926000 -0.128784 
36.927000 -0.133761 
36.928000 -0.138517 
36.929000 -0.143281 
36.930000 -0.148100 
36.931000 -0.152993 
36.932000 -0.157662 
36.933000 -0.162408 
36.934000 -0.167035 
36.935000 -0.171715 
36.936000 -0.176414 
36.937000 -0.180850 
36.938000 -0.185420 
36.939000 -0.190213 
36.940000 -0.194773 
36.941000 -0.199330 
36.942000 -0.203860 
36.943000 -0.208382 
36.944000 -0.212815 
36.945000 -0.217319 
36.946000 -0.221696 
36.947000 -0.226157 
36.948000 -0.230655 
36.949000 -0.234973 
36.950000 -0.239224 
36.951000 -0.243490 
36.952000 -0.247789 
36.953000 -0.251998 
36.954000 -0.256276 
36.955000 -0.260529 
36.956000 -0.264800 
36.957000 -0.268960 
36.958000 -0.273136 
36.959000 -0.277210 
36.960000 -0.281203 
36.961000 -0.285385 
36.962000 -0.289426 
36.963000 -0.293486 
36.964000 -0.297494 
36.965000 -0.301436 
36.966000 -0.305302 
36.967000 -0.309180 
36.968000 -0.313215 
36.969000 -0.317151 
36.970000 -0.320913 
36.971000 -0.324563 
36.972000 -0.328283 
36.973000 -0.332058 
36.974000 -0.335672 
36.975000 -0.339376 
36.976000 -0.343167 
36.977000 -0.346847 
36.978000 -0.350386 
36.979000 -0.354114 
36.980000 -0.357804 
36.981000 -0.361304 
36.982000 -0.364885 
36.983000 -0.368469 
36.984000 -0.371913 
36.985000 -0.375424 
36.986000 -0.378928 
36.987000 -0.382456 
36.988000 -0.386041 
36.989000 -0.389520 
36.990000 -0.392910 
36.991000 -0.396251 
36.992000 -0.399731 
36.993000 -0.403147 
36.994000 -0.406581 
36.995000 -0.410103 
36.996000 -0.413443 
36.997000 -0.416703 
36.998000 -0.420159 
36.999000 -0.423532 
37.000000 -0.426970 
37.001000 -0.430360 
37.002000 -0.433698 
37.003000 -0.436917 
37.004000 -0.440501 
37.005000 -0.443918 
37.006000 -0.447291 
37.007000 -0.450531 
37.008000 -0.454107 
37.009000 -0.457367 
37.010000 -0.461031 
37.011000 -0.464310 
37.012000 -0.467938 
37.013000 -0.471346 
37.014000 -0.474962 
37.015000 -0.478126 
37.016000 -0.481809 
37.017000 -0.485172 
37.018000 -0.488832 
37.019000 -0.492165 
37.020000 -0.495720 
37.021000 -0.499544 
37.022000 -0.502950 
37.023000 -0.506846 
37.024000 -0.510186 
37.025000 -0.514408 
37.026000 -0.517478 
37.027000 -0.522136 
37.028000 -0.524829 
37.029000 -0.529826 
37.030000 -0.532566 
37.031000 -0.536954 
37.032000 -0.540708 
37.033000 -0.543876 
37.034000 -0.549164 
37.035000 -0.551513 
37.036000 -0.557807 
37.037000 -0.559133 
37.038000 -0.566550 
37.039000 -0.566881 
37.040000 -0.575628 
37.041000 -0.575067 
37.042000 -0.584824 
37.043000 -0.583179 
37.044000 -0.593747 
37.045000 -0.591068 
37.046000 -0.603106 
37.047000 -0.599530 
37.048000 -0.613102 
37.049000 -0.608098 
37.050000 -0.623184 
37.051000 -0.616775 
37.052000 -0.633701 
37.053000 -0.625672 
37.054000 -0.644224 
37.055000 -0.634688 
37.056000 -0.654738 
37.057000 -0.643959 
37.058000 -0.665462 
37.059000 -0.654079 
37.060000 -0.676117 
37.061000 -0.664527 
37.062000 -0.686646 
37.063000 -0.675706 
37.064000 -0.697101 
37.065000 -0.687411 
37.066000 -0.707634 
37.067000 -0.699445 
37.068000 -0.718538 
37.069000 -0.711445 
37.070000 -0.729509 
37.071000 -0.723905 
37.072000 -0.740787 
37.073000 -0.736727 
37.074000 -0.752467 
37.075000 -0.749607 
37.076000 -0.764267 
37.077000 -0.762529 
37.078000 -0.776398 
37.079000 -0.775815 
37.080000 -0.789293 
37.081000 -0.788796 
37.082000 -0.802228 
37.083000 -0.801912 
37.084000 -0.815859 
37.085000 -0.815611 
37.086000 -0.829695 
37.087000 -0.829354 
37.088000 -0.843622 
37.089000 -0.843414 
37.090000 -0.857771 
37.091000 -0.857468 
37.092000 -0.872129 
37.093000 -0.871865 
37.094000 -0.886912 
37.095000 -0.886586 
37.096000 -0.901778 
37.097000 -0.901739 
37.098000 -0.916927 
37.099000 -0.917104 
37.100000 -0.932062 
37.101000 -0.932551 
37.102000 -0.947607 
37.103000 -0.948108 
37.104000 -0.963437 
37.105000 -0.963980 
37.106000 -0.979776 
37.107000 -0.980092 
37.108000 -0.996355 
37.109000 -0.996023 
37.110000 -1.013262 
37.111000 -1.012380 
37.112000 -1.029887 
37.113000 -1.029503 
37.114000 -1.046355 
37.115000 -1.046713 
37.116000 -1.063133 
37.117000 -1.064743 
37.118000 -1.080114 
37.119000 -1.082438 
37.120000 -1.097185 
37.121000 -1.100603 
37.122000 -1.114436 
37.123000 -1.118506 
37.124000 -1.131869 
37.125000 -1.137137 
37.126000 -1.149829 
37.127000 -1.155508 
37.128000 -1.167560 
37.129000 -1.174189 
37.130000 -1.185501 
37.131000 -1.192760 
37.132000 -1.203604 
37.133000 -1.211864 
37.134000 -1.222186 
37.135000 -1.230932 
37.136000 -1.240536 
37.137000 -1.250021 
37.138000 -1.259111 
37.139000 -1.268905 
37.140000 -1.277548 
37.141000 -1.288183 
37.142000 -1.296630 
37.143000 -1.307589 
37.144000 -1.315894 
37.145000 -1.326824 
37.146000 -1.335050 
37.147000 -1.346076 
37.148000 -1.354086 
37.149000 -1.365456 
37.150000 -1.373548 
37.151000 -1.385108 
37.152000 -1.393188 
37.153000 -1.404733 
37.154000 -1.412591 
37.155000 -1.424248 
37.156000 -1.431722 
37.157000 -1.443550 
37.158000 -1.451057 
37.159000 -1.463286 
37.160000 -1.470895 
37.161000 -1.482816 
37.162000 -1.490382 
37.163000 -1.502199 
37.164000 -1.509739 
37.165000 -1.521385 
37.166000 -1.529244 
37.167000 -1.540972 
37.168000 -1.548656 
37.169000 -1.560536 
37.170000 -1.568477 
37.171000 -1.579868 
37.172000 -1.587831 
37.173000 -1.599241 
37.174000 -1.607166 
37.175000 -1.618659 
37.176000 -1.626375 
37.177000 -1.637756 
37.178000 -1.645606 
37.179000 -1.656914 
37.180000 -1.664708 
37.181000 -1.675868 
37.182000 -1.683778 
37.183000 -1.694949 
37.184000 -1.703027 
37.185000 -1.714169 
37.186000 -1.722032 
37.187000 -1.732861 
37.188000 -1.740794 
37.189000 -1.751546 
37.190000 -1.759910 
37.191000 -1.770313 
37.192000 -1.778568 
37.193000 -1.788606 
37.194000 -1.797348 
37.195000 -1.806902 
37.196000 -1.815650 
37.197000 -1.824982 
37.198000 -1.834090 
37.199000 -1.843108 
37.200000 -1.852516 
37.201000 -1.861278 
37.202000 -1.870939 
37.203000 -1.879455 
37.204000 -1.889169 
37.205000 -1.896787 
37.206000 -1.906145 
37.207000 -1.914073 
37.208000 -1.924167 
37.209000 -1.931636 
37.210000 -1.941648 
37.211000 -1.948947 
37.212000 -1.958975 
37.213000 -1.965773 
37.214000 -1.975844 
37.215000 -1.982509 
37.216000 -1.992758 
37.217000 -1.999145 
37.218000 -2.009315 
37.219000 -2.015476 
37.220000 -2.025886 
37.221000 -2.031941 
37.222000 -2.042073 
37.223000 -2.047967 
37.224000 -2.058208 
37.225000 -2.063839 
37.226000 -2.074038 
37.227000 -2.079583 
37.228000 -2.089709 
37.229000 -2.095227 
37.230000 -2.105302 
37.231000 -2.110404 
37.232000 -2.120318 
37.233000 -2.125408 
37.234000 -2.135194 
37.235000 -2.140536 
37.236000 -2.150095 
37.237000 -2.155422 
37.238000 -2.164706 
37.239000 -2.170006 
37.240000 -2.179008 
37.241000 -2.184199 
37.242000 -2.193077 
37.243000 -2.198607 
37.244000 -2.206855 
37.245000 -2.212379 
37.246000 -2.220330 
37.247000 -2.225982 
37.248000 -2.233531 
37.249000 -2.239618 
37.250000 -2.246450 
37.251000 -2.252709 
37.252000 -2.259284 
37.253000 -2.266119 
37.254000 -2.272441 
37.255000 -2.279086 
37.256000 -2.285068 
37.257000 -2.291591 
37.258000 -2.297642 
37.259000 -2.303846 
37.260000 -2.310084 
37.261000 -2.315835 
37.262000 -2.322151 
37.263000 -2.327900 
37.264000 -2.333906 
37.265000 -2.339336 
37.266000 -2.345503 
37.267000 -2.350857 
37.268000 -2.356706 
37.269000 -2.361818 
37.270000 -2.367684 
37.271000 -2.372630 
37.272000 -2.378634 
37.273000 -2.383970 
37.274000 -2.389598 
37.275000 -2.394493 
37.276000 -2.400472 
37.277000 -2.405598 
37.278000 -2.411020 
37.279000 -2.415715 
37.280000 -2.421018 
37.281000 -2.425564 
37.282000 -2.430925 
37.283000 -2.435534 
37.284000 -2.440491 
37.285000 -2.444647 
37.286000 -2.449950 
37.287000 -2.454434 
37.288000 -2.459150 
37.289000 -2.463327 
37.290000 -2.467899 
37.291000 -2.472722 
37.292000 -2.477319 
37.293000 -2.481681 
37.294000 -2.486117 
37.295000 -2.490279 
37.296000 -2.494772 
37.297000 -2.498762 
37.298000 -2.503076 
37.299000 -2.507081 
37.300000 -2.511305 
37.301000 -2.515363 
37.302000 -2.519465 
37.303000 -2.523371 
37.304000 -2.527882 
37.305000 -2.531916 
37.306000 -2.536405 
37.307000 -2.540122 
37.308000 -2.543809 
37.309000 -2.547444 
37.310000 -2.551029 
37.311000 -2.554700 
37.312000 -2.558273 
37.313000 -2.561295 
37.314000 -2.564774 
37.315000 -2.568118 
37.316000 -2.571969 
37.317000 -2.575324 
37.318000 -2.578920 
37.319000 -2.582007 
37.320000 -2.585358 
37.321000 -2.588246 
37.322000 -2.592024 
37.323000 -2.594746 
37.324000 -2.598370 
37.325000 -2.601005 
37.326000 -2.603746 
37.327000 -2.606264 
37.328000 -2.609029 
37.329000 -2.611885 
37.330000 -2.615024 
37.331000 -2.617955 
37.332000 -2.620482 
37.333000 -2.622847 
37.334000 -2.625723 
37.335000 -2.627903 
37.336000 -2.629849 
37.337000 -2.632690 
37.338000 -2.633950 
37.339000 -2.635696 
37.340000 -2.637992 
37.341000 -2.640133 
37.342000 -2.641696 
37.343000 -2.643667 
37.344000 -2.645213 
37.345000 -2.646945 
37.346000 -2.649077 
37.347000 -2.651464 
37.348000 -2.653147 
37.349000 -2.654768 
37.350000 -2.656445 
37.351000 -2.658896 
37.352000 -2.660747 
37.353000 -2.662574 
37.354000 -2.664294 
37.355000 -2.666153 
37.356000 -2.667177 
37.357000 -2.667107 
37.358000 -2.667189 
37.359000 -2.667352 
37.360000 -2.668247 
37.361000 -2.669576 
37.362000 -2.671373 
37.363000 -2.673328 
37.364000 -2.674878 
37.365000 -2.676309 
37.366000 -2.677904 
37.367000 -2.677983 
37.368000 -2.679248 
37.369000 -2.679361 
37.370000 -2.680152 
37.371000 -2.680126 
37.372000 -2.681219 
37.373000 -2.681297 
37.374000 -2.681555 
37.375000 -2.680759 
37.376000 -2.680169 
37.377000 -2.680237 
37.378000 -2.680401 
37.379000 -2.680794 
37.380000 -2.681289 
37.381000 -2.681634 
37.382000 -2.680717 
37.383000 -2.680328 
37.384000 -2.679773 
37.385000 -2.680328 
37.386000 -2.680965 
37.387000 -2.681321 
37.388000 -2.681369 
37.389000 -2.680808 
37.390000 -2.680046 
37.391000 -2.678186 
37.392000 -2.676947 
37.393000 -2.676222 
37.394000 -2.675020 
37.395000 -2.674394 
37.396000 -2.672921 
37.397000 -2.671452 
37.398000 -2.670299 
37.399000 -2.670083 
37.400000 -2.669228 
37.401000 -2.668194 
37.402000 -2.666949 
37.403000 -2.665453 
37.404000 -2.662969 
37.405000 -2.660509 
37.406000 -2.658182 
37.407000 -2.656542 
37.408000 -2.655808 
37.409000 -2.655485 
37.410000 -2.654865 
37.411000 -2.654487 
37.412000 -2.653863 
37.413000 -2.653222 
37.414000 -2.651925 
37.415000 -2.649604 
37.416000 -2.646557 
37.417000 -2.643819 
37.418000 -2.641776 
37.419000 -2.639537 
37.420000 -2.638182 
