Time(s) Pressure(mBar)
36.862000 4.847967 
36.863000 3.856579 
36.864000 3.301046 
36.865000 2.955753 
36.866000 2.729226 
36.867000 2.575954 
36.868000 2.469722 
36.869000 2.395085 
36.870000 2.342234 
36.871000 2.302338 
36.872000 2.272478 
36.873000 2.250300 
36.874000 2.233905 
36.875000 2.221684 
36.876000 2.212217 
36.877000 2.204799 
36.878000 2.199262 
36.879000 2.195165 
36.880000 2.191882 
36.881000 2.189315 
36.882000 2.187120 
36.883000 2.185581 
36.884000 2.184278 
36.885000 2.183209 
36.886000 2.182435 
36.887000 2.182249 
36.888000 2.181749 
36.889000 2.181592 
36.890000 2.181485 
36.891000 2.181436 
36.892000 2.181416 
36.893000 2.181524 
36.894000 2.181573 
36.895000 2.181671 
36.896000 2.181690 
36.897000 2.181700 
36.898000 2.181681 
36.899000 2.181739 
36.900000 2.181818 
36.901000 2.181896 
36.902000 2.182014 
36.903000 2.182200 
36.904000 2.182425 
36.905000 2.182621 
36.906000 2.182788 
36.907000 2.183004 
36.908000 2.183141 
36.909000 2.183239 
36.910000 2.183366 
36.911000 2.183533 
36.912000 2.183680 
36.913000 2.183807 
36.914000 2.183984 
36.915000 2.184180 
36.916000 2.184395 
36.917000 2.184611 
36.918000 2.184768 
36.919000 2.184924 
36.920000 2.185071 
36.921000 2.185267 
36.922000 2.185316 
36.923000 2.185414 
36.924000 2.185522 
36.925000 2.185659 
36.926000 2.185748 
36.927000 2.185767 
36.928000 2.185865 
36.929000 2.185963 
36.930000 2.186032 
36.931000 2.185973 
36.932000 2.186002 
36.933000 2.185973 
36.934000 2.186002 
36.935000 2.185953 
36.936000 2.185885 
36.937000 2.185826 
36.938000 2.185738 
36.939000 2.185512 
36.940000 2.185356 
36.941000 2.185189 
36.942000 2.185022 
36.943000 2.184856 
36.944000 2.184709 
36.945000 2.184513 
36.946000 2.184395 
36.947000 2.184180 
36.948000 2.183925 
36.949000 2.183690 
36.950000 2.183454 
36.951000 2.183209 
36.952000 2.182886 
36.953000 2.182670 
36.954000 2.182357 
36.955000 2.182112 
36.956000 2.181818 
36.957000 2.181524 
36.958000 2.181171 
36.959000 2.180916 
36.960000 2.180710 
36.961000 2.180367 
36.962000 2.180083 
36.963000 2.179691 
36.964000 2.179378 
36.965000 2.179133 
36.966000 2.178848 
36.967000 2.178545 
36.968000 2.178153 
36.969000 2.177780 
36.970000 2.177388 
36.971000 2.177065 
36.972000 2.176722 
36.973000 2.176369 
36.974000 2.175997 
36.975000 2.175526 
36.976000 2.175075 
36.977000 2.174742 
36.978000 2.174331 
36.979000 2.173870 
36.980000 2.173537 
36.981000 2.173194 
36.982000 2.172763 
36.983000 2.172429 
36.984000 2.172165 
36.985000 2.171841 
36.986000 2.171577 
36.987000 2.171195 
36.988000 2.170901 
36.989000 2.170714 
36.990000 2.170783 
36.991000 2.170567 
36.992000 2.170264 
36.993000 2.169872 
36.994000 2.169293 
36.995000 2.168803 
36.996000 2.168451 
36.997000 2.168068 
36.998000 2.167324 
36.999000 2.166608 
37.000000 2.166187 
37.001000 2.165756 
37.002000 2.165148 
37.003000 2.164844 
37.004000 2.164050 
37.005000 2.163472 
37.006000 2.163012 
37.007000 2.162580 
37.008000 2.162012 
37.009000 2.161287 
