Time(s) Surface_Elevation(m)
36.861000 0.020009 
36.862000 0.020032 
36.863000 0.020055 
36.864000 0.020078 
36.865000 0.020101 
36.866000 0.020123 
36.867000 0.020145 
36.868000 0.020167 
36.869000 0.020189 
36.870000 0.020211 
36.871000 0.020233 
36.872000 0.020254 
36.873000 0.020275 
36.874000 0.020297 
36.875000 0.020318 
36.876000 0.020338 
36.877000 0.020359 
36.878000 0.020379 
36.879000 0.020400 
36.880000 0.020420 
36.881000 0.020440 
36.882000 0.020460 
36.883000 0.020479 
36.884000 0.020499 
36.885000 0.020518 
36.886000 0.020537 
36.887000 0.020556 
36.888000 0.020575 
36.889000 0.020594 
36.890000 0.020612 
36.891000 0.020631 
36.892000 0.020649 
36.893000 0.020667 
36.894000 0.020685 
36.895000 0.020702 
36.896000 0.020720 
36.897000 0.020737 
36.898000 0.020754 
36.899000 0.020771 
36.900000 0.020788 
36.901000 0.020805 
36.902000 0.020821 
36.903000 0.020837 
36.904000 0.020853 
36.905000 0.020869 
36.906000 0.020885 
36.907000 0.020900 
36.908000 0.020916 
36.909000 0.020931 
36.910000 0.020946 
36.911000 0.020961 
36.912000 0.020975 
36.913000 0.020990 
36.914000 0.021004 
36.915000 0.021018 
36.916000 0.021032 
36.917000 0.021046 
36.918000 0.021059 
36.919000 0.021073 
36.920000 0.021086 
36.921000 0.021099 
36.922000 0.021112 
36.923000 0.021124 
36.924000 0.021137 
36.925000 0.021149 
36.926000 0.021161 
36.927000 0.021173 
36.928000 0.021184 
36.929000 0.021196 
36.930000 0.021207 
36.931000 0.021218 
36.932000 0.021229 
36.933000 0.021240 
36.934000 0.021250 
36.935000 0.021260 
36.936000 0.021270 
36.937000 0.021280 
36.938000 0.021290 
36.939000 0.021299 
36.940000 0.021308 
36.941000 0.021317 
36.942000 0.021326 
36.943000 0.021335 
36.944000 0.021343 
36.945000 0.021351 
36.946000 0.021359 
36.947000 0.021367 
36.948000 0.021374 
36.949000 0.021382 
36.950000 0.021389 
36.951000 0.021396 
36.952000 0.021402 
36.953000 0.021409 
36.954000 0.021415 
36.955000 0.021421 
36.956000 0.021427 
36.957000 0.021433 
36.958000 0.021438 
36.959000 0.021443 
36.960000 0.021448 
36.961000 0.021453 
36.962000 0.021457 
36.963000 0.021462 
36.964000 0.021466 
36.965000 0.021469 
36.966000 0.021473 
36.967000 0.021476 
36.968000 0.021480 
36.969000 0.021483 
36.970000 0.021485 
36.971000 0.021488 
36.972000 0.021490 
36.973000 0.021492 
36.974000 0.021494 
36.975000 0.021496 
36.976000 0.021497 
36.977000 0.021498 
36.978000 0.021499 
36.979000 0.021500 
36.980000 0.021501 
36.981000 0.021501 
36.982000 0.021501 
36.983000 0.021502 
36.984000 0.021501 
36.985000 0.021501 
36.986000 0.021500 
36.987000 0.021499 
36.988000 0.021498 
36.989000 0.021496 
36.990000 0.021494 
36.991000 0.021492 
36.992000 0.021490 
36.993000 0.021487 
36.994000 0.021485 
36.995000 0.021482 
36.996000 0.021478 
36.997000 0.021475 
36.998000 0.021471 
36.999000 0.021467 
37.000000 0.021463 
37.001000 0.021459 
37.002000 0.021454 
37.003000 0.021449 
37.004000 0.021444 
37.005000 0.021438 
37.006000 0.021433 
37.007000 0.021427 
37.008000 0.021421 
37.009000 0.021415 
37.010000 0.021408 
37.011000 0.021401 
37.012000 0.021394 
37.013000 0.021387 
37.014000 0.021379 
37.015000 0.021372 
37.016000 0.021364 
37.017000 0.021356 
37.018000 0.021347 
37.019000 0.021339 
37.020000 0.021330 
37.021000 0.021320 
37.022000 0.021311 
37.023000 0.021301 
37.024000 0.021291 
37.025000 0.021281 
37.026000 0.021271 
37.027000 0.021260 
37.028000 0.021250 
37.029000 0.021239 
37.030000 0.021228 
37.031000 0.021216 
37.032000 0.021205 
37.033000 0.021193 
37.034000 0.021181 
37.035000 0.021168 
37.036000 0.021156 
37.037000 0.021143 
37.038000 0.021130 
37.039000 0.021117 
37.040000 0.021104 
37.041000 0.021090 
37.042000 0.021076 
37.043000 0.021062 
37.044000 0.021048 
37.045000 0.021033 
37.046000 0.021018 
37.047000 0.021003 
37.048000 0.020988 
37.049000 0.020973 
37.050000 0.020957 
37.051000 0.020941 
37.052000 0.020925 
37.053000 0.020909 
37.054000 0.020892 
37.055000 0.020875 
37.056000 0.020858 
37.057000 0.020841 
37.058000 0.020824 
37.059000 0.020806 
37.060000 0.020788 
37.061000 0.020770 
37.062000 0.020752 
37.063000 0.020734 
37.064000 0.020715 
37.065000 0.020697 
37.066000 0.020678 
37.067000 0.020659 
37.068000 0.020639 
37.069000 0.020620 
37.070000 0.020601 
37.071000 0.020581 
37.072000 0.020561 
37.073000 0.020541 
37.074000 0.020521 
37.075000 0.020499 
37.076000 0.020476 
37.077000 0.020453 
37.078000 0.020430 
37.079000 0.020407 
37.080000 0.020383 
37.081000 0.020359 
37.082000 0.020334 
37.083000 0.020310 
37.084000 0.020286 
37.085000 0.020261 
37.086000 0.020236 
37.087000 0.020211 
37.088000 0.020186 
37.089000 0.020160 
37.090000 0.020134 
37.091000 0.020108 
37.092000 0.020082 
37.093000 0.020056 
37.094000 0.020029 
37.095000 0.020002 
37.096000 0.019975 
37.097000 0.019948 
37.098000 0.019920 
37.099000 0.019892 
37.100000 0.019864 
37.101000 0.019836 
37.102000 0.019808 
37.103000 0.019779 
37.104000 0.019750 
37.105000 0.019721 
37.106000 0.019692 
37.107000 0.019662 
37.108000 0.019632 
37.109000 0.019602 
37.110000 0.019572 
37.111000 0.019541 
37.112000 0.019511 
37.113000 0.019480 
37.114000 0.019449 
37.115000 0.019417 
37.116000 0.019386 
37.117000 0.019354 
37.118000 0.019322 
37.119000 0.019290 
37.120000 0.019258 
37.121000 0.019226 
37.122000 0.019193 
37.123000 0.019161 
37.124000 0.019128 
37.125000 0.019095 
37.126000 0.019061 
37.127000 0.019028 
37.128000 0.018994 
37.129000 0.018960 
37.130000 0.018926 
37.131000 0.018892 
37.132000 0.018858 
37.133000 0.018824 
37.134000 0.018789 
37.135000 0.018754 
37.136000 0.018719 
37.137000 0.018684 
37.138000 0.018649 
37.139000 0.018614 
37.140000 0.018578 
37.141000 0.018543 
37.142000 0.018507 
37.143000 0.018471 
37.144000 0.018435 
37.145000 0.018398 
37.146000 0.018362 
37.147000 0.018325 
37.148000 0.018289 
37.149000 0.018252 
37.150000 0.018215 
37.151000 0.018178 
37.152000 0.018141 
37.153000 0.018103 
37.154000 0.018066 
37.155000 0.018028 
37.156000 0.017990 
37.157000 0.017952 
37.158000 0.017914 
37.159000 0.017876 
37.160000 0.017838 
37.161000 0.017799 
37.162000 0.017761 
37.163000 0.017722 
37.164000 0.017683 
37.165000 0.017645 
37.166000 0.017605 
37.167000 0.017566 
37.168000 0.017527 
37.169000 0.017488 
37.170000 0.017448 
37.171000 0.017408 
37.172000 0.017369 
37.173000 0.017329 
37.174000 0.017289 
37.175000 0.017248 
37.176000 0.017208 
37.177000 0.017168 
37.178000 0.017127 
37.179000 0.017086 
37.180000 0.017046 
37.181000 0.017005 
37.182000 0.016964 
37.183000 0.016922 
37.184000 0.016881 
37.185000 0.016840 
37.186000 0.016798 
37.187000 0.016756 
37.188000 0.016714 
37.189000 0.016672 
37.190000 0.016630 
37.191000 0.016588 
37.192000 0.016546 
37.193000 0.016503 
37.194000 0.016460 
37.195000 0.016417 
37.196000 0.016374 
37.197000 0.016331 
37.198000 0.016288 
37.199000 0.016244 
37.200000 0.016201 
37.201000 0.016157 
37.202000 0.016113 
37.203000 0.016068 
37.204000 0.016024 
37.205000 0.015980 
37.206000 0.015935 
37.207000 0.015890 
37.208000 0.015845 
37.209000 0.015799 
37.210000 0.015754 
37.211000 0.015708 
37.212000 0.015662 
37.213000 0.015616 
37.214000 0.015570 
37.215000 0.015523 
37.216000 0.015477 
37.217000 0.015430 
37.218000 0.015382 
37.219000 0.015335 
37.220000 0.015287 
37.221000 0.015239 
37.222000 0.015191 
37.223000 0.015143 
37.224000 0.015094 
37.225000 0.015045 
37.226000 0.014996 
37.227000 0.014946 
37.228000 0.014896 
37.229000 0.014846 
37.230000 0.014796 
37.231000 0.014745 
37.232000 0.014694 
37.233000 0.014643 
37.234000 0.014591 
37.235000 0.014539 
37.236000 0.014487 
37.237000 0.014434 
37.238000 0.014381 
37.239000 0.014328 
37.240000 0.014274 
37.241000 0.014221 
37.242000 0.014168 
37.243000 0.014115 
37.244000 0.014062 
37.245000 0.014010 
37.246000 0.013958 
37.247000 0.013906 
37.248000 0.013855 
37.249000 0.013803 
37.250000 0.013752 
37.251000 0.013702 
37.252000 0.013651 
37.253000 0.013601 
37.254000 0.013551 
37.255000 0.013501 
37.256000 0.013452 
37.257000 0.013403 
37.258000 0.013354 
37.259000 0.013305 
37.260000 0.013257 
37.261000 0.013208 
37.262000 0.013160 
37.263000 0.013112 
37.264000 0.013065 
37.265000 0.013017 
37.266000 0.012970 
37.267000 0.012923 
37.268000 0.012876 
37.269000 0.012829 
37.270000 0.012783 
37.271000 0.012736 
37.272000 0.012690 
37.273000 0.012644 
37.274000 0.012599 
37.275000 0.012553 
37.276000 0.012508 
37.277000 0.012462 
37.278000 0.012417 
37.279000 0.012373 
37.280000 0.012328 
37.281000 0.012283 
37.282000 0.012239 
37.283000 0.012195 
37.284000 0.012151 
37.285000 0.012107 
37.286000 0.012063 
37.287000 0.012019 
37.288000 0.011976 
37.289000 0.011933 
37.290000 0.011889 
37.291000 0.011846 
37.292000 0.011803 
37.293000 0.011761 
37.294000 0.011718 
37.295000 0.011676 
37.296000 0.011633 
37.297000 0.011591 
37.298000 0.011549 
37.299000 0.011507 
37.300000 0.011466 
37.301000 0.011424 
37.302000 0.011382 
37.303000 0.011341 
37.304000 0.011300 
37.305000 0.011259 
37.306000 0.011218 
37.307000 0.011177 
37.308000 0.011136 
37.309000 0.011096 
37.310000 0.011055 
37.311000 0.011015 
37.312000 0.010975 
37.313000 0.010935 
37.314000 0.010895 
37.315000 0.010856 
37.316000 0.010816 
37.317000 0.010777 
37.318000 0.010735 
37.319000 0.010691 
37.320000 0.010647 
37.321000 0.010604 
37.322000 0.010561 
37.323000 0.010519 
37.324000 0.010477 
37.325000 0.010435 
37.326000 0.010394 
37.327000 0.010353 
37.328000 0.010311 
37.329000 0.010270 
37.330000 0.010230 
37.331000 0.010189 
37.332000 0.010148 
37.333000 0.010108 
37.334000 0.010068 
37.335000 0.010028 
37.336000 0.009988 
37.337000 0.009949 
37.338000 0.009909 
37.339000 0.009870 
37.340000 0.009831 
37.341000 0.009792 
37.342000 0.009753 
37.343000 0.009714 
37.344000 0.009676 
37.345000 0.009638 
37.346000 0.009600 
37.347000 0.009562 
37.348000 0.009524 
37.349000 0.009486 
37.350000 0.009449 
