Time(s) Pressure(mBar)
36.862000 5.179785 
36.863000 4.167308 
36.864000 3.595321 
36.865000 3.237199 
36.866000 3.000539 
36.867000 2.839359 
36.868000 2.726953 
36.869000 2.647573 
36.870000 2.591105 
36.871000 2.548103 
36.872000 2.515870 
36.873000 2.491988 
36.874000 2.474387 
36.875000 2.461343 
36.876000 2.451239 
36.877000 2.443380 
36.878000 2.437647 
36.879000 2.433511 
36.880000 2.430258 
36.881000 2.427798 
36.882000 2.425730 
36.883000 2.424436 
36.884000 2.423378 
36.885000 2.422574 
36.886000 2.422104 
36.887000 2.422271 
36.888000 2.422124 
36.889000 2.422329 
36.890000 2.422555 
36.891000 2.422819 
36.892000 2.423113 
36.893000 2.423545 
36.894000 2.423897 
36.895000 2.424280 
36.896000 2.424564 
36.897000 2.424828 
36.898000 2.425054 
36.899000 2.425358 
36.900000 2.425691 
36.901000 2.426004 
36.902000 2.426357 
36.903000 2.426788 
36.904000 2.427249 
36.905000 2.427670 
36.906000 2.428053 
36.907000 2.428484 
36.908000 2.428827 
36.909000 2.429111 
36.910000 2.429444 
36.911000 2.429787 
36.912000 2.430120 
36.913000 2.430434 
36.914000 2.430797 
36.915000 2.431189 
36.916000 2.431590 
36.917000 2.431992 
36.918000 2.432316 
36.919000 2.432649 
36.920000 2.432972 
36.921000 2.433335 
36.922000 2.433550 
36.923000 2.433815 
36.924000 2.434080 
36.925000 2.434374 
36.926000 2.434609 
36.927000 2.434795 
36.928000 2.435040 
36.929000 2.435285 
36.930000 2.435501 
36.931000 2.435599 
36.932000 2.435755 
36.933000 2.435863 
36.934000 2.436020 
36.935000 2.436108 
36.936000 2.436167 
36.937000 2.436216 
36.938000 2.436236 
36.939000 2.436138 
36.940000 2.436098 
36.941000 2.436040 
36.942000 2.435991 
36.943000 2.435932 
36.944000 2.435893 
36.945000 2.435804 
36.946000 2.435785 
36.947000 2.435677 
36.948000 2.435530 
36.949000 2.435383 
36.950000 2.435216 
36.951000 2.435060 
36.952000 2.434834 
36.953000 2.434687 
36.954000 2.434462 
36.955000 2.434285 
36.956000 2.434080 
36.957000 2.433874 
36.958000 2.433609 
36.959000 2.433403 
36.960000 2.433266 
36.961000 2.433021 
36.962000 2.432796 
36.963000 2.432492 
36.964000 2.432237 
36.965000 2.432061 
36.966000 2.431826 
36.967000 2.431581 
36.968000 2.431247 
36.969000 2.430944 
36.970000 2.430610 
36.971000 2.430316 
36.972000 2.430013 
36.973000 2.429709 
36.974000 2.429376 
36.975000 2.428954 
36.976000 2.428543 
36.977000 2.428229 
36.978000 2.427857 
36.979000 2.427435 
36.980000 2.427131 
36.981000 2.426818 
36.982000 2.426426 
36.983000 2.426122 
36.984000 2.425897 
36.985000 2.425603 
36.986000 2.425377 
36.987000 2.425044 
36.988000 2.424809 
36.989000 2.424691 
36.990000 2.424848 
36.991000 2.424701 
36.992000 2.424446 
36.993000 2.424084 
36.994000 2.423525 
36.995000 2.423074 
36.996000 2.422731 
36.997000 2.422369 
36.998000 2.421604 
36.999000 2.420908 
37.000000 2.420497 
37.001000 2.420105 
37.002000 2.419497 
37.003000 2.419213 
37.004000 2.418400 
37.005000 2.417841 
37.006000 2.417410 
37.007000 2.417008 
37.008000 2.416449 
37.009000 2.415744 
37.010000 2.415469 
37.011000 2.414921 
37.012000 2.414401 
37.013000 2.413862 
37.014000 2.413402 
37.015000 2.412549 
37.016000 2.411647 
37.017000 2.410863 
37.018000 2.410217 
37.019000 2.409638 
37.020000 2.409609 
37.021000 2.407522 
37.022000 2.407698 
37.023000 2.407874 
37.024000 2.406297 
37.025000 2.405385 
37.026000 2.404425 
37.027000 2.403298 
37.028000 2.402445 
37.029000 2.400515 
37.030000 2.399094 
37.031000 2.397741 
37.032000 2.396467 
37.033000 2.395497 
37.034000 2.394125 
37.035000 2.392645 
37.036000 2.391224 
37.037000 2.389921 
37.038000 2.388176 
37.039000 2.386648 
37.040000 2.384707 
37.041000 2.383188 
37.042000 2.381522 
37.043000 2.379827 
37.044000 2.378112 
37.045000 2.376289 
37.046000 2.374731 
37.047000 2.372908 
37.048000 2.371134 
37.049000 2.368939 
37.050000 2.366979 
37.051000 2.364852 
37.052000 2.362716 
37.053000 2.360393 
37.054000 2.358071 
37.055000 2.355601 
37.056000 2.353034 
37.057000 2.350584 
37.058000 2.348094 
37.059000 2.345292 
37.060000 2.342783 
37.061000 2.339990 
37.062000 2.336785 
37.063000 2.333728 
37.064000 2.330562 
37.065000 2.327171 
37.066000 2.323849 
37.067000 2.320194 
37.068000 2.316548 
37.069000 2.312854 
37.070000 2.308943 
37.071000 2.304974 
37.072000 2.301329 
37.073000 2.297693 
37.074000 2.293724 
37.075000 2.289539 
37.076000 2.285610 
37.077000 2.281503 
37.078000 2.277309 
37.079000 2.272997 
37.080000 2.268146 
37.081000 2.263785 
37.082000 2.259326 
37.083000 2.254651 
37.084000 2.249712 
37.085000 2.245067 
37.086000 2.240265 
37.087000 2.235365 
37.088000 2.230269 
37.089000 2.224957 
37.090000 2.219656 
37.091000 2.214334 
37.092000 2.208856 
37.093000 2.203329 
37.094000 2.197615 
37.095000 2.191990 
37.096000 2.186208 
37.097000 2.180367 
37.098000 2.174487 
37.099000 2.168637 
37.100000 2.162963 
37.101000 2.156798 
37.102000 2.150683 
37.103000 2.144558 
37.104000 2.138374 
37.105000 2.131671 
37.106000 2.125272 
37.107000 2.118902 
37.108000 2.112483 
37.109000 2.105642 
37.110000 2.098871 
37.111000 2.092334 
37.112000 2.085386 
37.113000 2.078418 
37.114000 2.071411 
37.115000 2.064629 
37.116000 2.057250 
37.117000 2.049969 
37.118000 2.042815 
37.119000 2.035229 
37.120000 2.027791 
37.121000 2.020451 
37.122000 2.013189 
37.123000 2.005780 
37.124000 1.998107 
37.125000 1.990492 
37.126000 1.982417 
37.127000 1.974695 
37.128000 1.967002 
37.129000 1.959456 
37.130000 1.951547 
37.131000 1.943648 
37.132000 1.935573 
37.133000 1.927576 
37.134000 1.919668 
37.135000 1.911896 
37.136000 1.903625 
37.137000 1.895217 
37.138000 1.886995 
37.139000 1.878625 
37.140000 1.870188 
37.141000 1.861897 
37.142000 1.853498 
37.143000 1.844815 
37.144000 1.836309 
37.145000 1.827420 
37.146000 1.818659 
37.147000 1.810045 
37.148000 1.801225 
37.149000 1.792444 
37.150000 1.783781 
37.151000 1.774912 
37.152000 1.765896 
37.153000 1.757115 
37.154000 1.748119 
37.155000 1.739191 
37.156000 1.730038 
37.157000 1.720963 
37.158000 1.712035 
37.159000 1.703058 
37.160000 1.693974 
37.161000 1.684870 
37.162000 1.675658 
37.163000 1.666455 
37.164000 1.657234 
37.165000 1.648208 
37.166000 1.638917 
37.167000 1.629598 
37.168000 1.620307 
37.169000 1.610840 
37.170000 1.601442 
37.171000 1.592024 
37.172000 1.582538 
37.173000 1.573071 
37.174000 1.563830 
37.175000 1.554471 
37.176000 1.544994 
37.177000 1.535429 
37.178000 1.525835 
37.179000 1.516261 
