Time(s) Pressure(mBar)
36.862000 -0.940075 
36.863000 0.159928 
36.864000 0.812247 
36.865000 1.229091 
36.866000 1.508038 
36.867000 1.699158 
36.868000 1.831762 
36.869000 1.923892 
36.870000 1.987004 
36.871000 2.029271 
36.872000 2.055711 
36.873000 2.066785 
36.874000 2.074312 
36.875000 2.077526 
36.876000 2.077271 
36.877000 2.073322 
36.878000 2.066923 
36.879000 2.058259 
36.880000 2.047705 
36.881000 2.035514 
36.882000 2.021941 
36.883000 2.006878 
36.884000 1.990884 
36.885000 1.974489 
36.886000 1.957535 
36.887000 1.940434 
36.888000 1.922520 
36.889000 1.904292 
36.890000 1.886465 
36.891000 1.868825 
36.892000 1.852322 
36.893000 1.835339 
36.894000 1.818306 
36.895000 1.801127 
36.896000 1.783752 
36.897000 1.765955 
36.898000 1.747668 
36.899000 1.729342 
36.900000 1.711339 
36.901000 1.693503 
36.902000 1.675481 
36.903000 1.657508 
36.904000 1.639672 
36.905000 1.621924 
36.906000 1.604098 
36.907000 1.585997 
36.908000 1.568485 
36.909000 1.551237 
36.910000 1.534273 
36.911000 1.517495 
36.912000 1.500884 
36.913000 1.484538 
36.914000 1.468074 
36.915000 1.451982 
36.916000 1.436185 
36.917000 1.420711 
36.918000 1.405491 
36.919000 1.390576 
36.920000 1.375954 
36.921000 1.361362 
36.922000 1.346819 
36.923000 1.332618 
36.924000 1.318830 
36.925000 1.305254 
36.926000 1.291866 
36.927000 1.278718 
36.928000 1.265825 
36.929000 1.253116 
36.930000 1.240534 
36.931000 1.228239 
36.932000 1.216181 
36.933000 1.204110 
36.934000 1.191813 
36.935000 1.181558 
36.936000 1.170788 
36.937000 1.160113 
36.938000 1.149973 
36.939000 1.140040 
36.940000 1.130217 
36.941000 1.120108 
36.942000 1.110660 
36.943000 1.100565 
36.944000 1.090616 
36.945000 1.080166 
36.946000 1.070804 
36.947000 1.061690 
36.948000 1.053115 
36.949000 1.045520 
36.950000 1.037588 
