0.001  (-0.00033 0 0) 
0.002  (-0.00066 0 0) 
0.003  (-0.00099 0 0) 
0.004  (-0.00132 0 0) 
0.005  (-0.00165 0 0) 
0.006  (-0.00198 0 0) 
0.007  (-0.00231 0 0) 
0.008  (-0.00264 0 0) 
0.009  (-0.00297 0 0) 
0.01  (-0.0033 0 0) 
0.011  (-0.00363 0 0) 
0.012  (-0.00396 0 0) 
0.013  (-0.00429 0 0) 
0.014  (-0.00462 0 0) 
0.015  (-0.00495 0 0) 
0.016  (-0.00528 0 0) 
0.017  (-0.00561 0 0) 
0.018  (-0.00594 0 0) 
0.019  (-0.00627 0 0) 
0.02  (-0.0066 0 0) 
0.021  (-0.00693 0 0) 
0.022  (-0.00726 0 0) 
0.023  (-0.00759 0 0) 
0.024  (-0.00792 0 0) 
0.025  (-0.00825 0 0) 
0.026  (-0.00858 0 0) 
0.027  (-0.00891 0 0) 
0.028  (-0.00924 0 0) 
0.029  (-0.00957 0 0) 
0.03  (-0.0099 0 0) 
0.031  (-0.01023 0 0) 
0.032  (-0.01056 0 0) 
0.033  (-0.01089 0 0) 
0.034  (-0.01122 0 0) 
0.035  (-0.01155 0 0) 
0.036  (-0.01188 0 0) 
0.037  (-0.01221 0 0) 
0.038  (-0.01254 0 0) 
0.039  (-0.01287 0 0) 
0.04  (-0.0132 0 0) 
0.041  (-0.01353 0 0) 
0.042  (-0.01386 0 0) 
0.043  (-0.01419 0 0) 
0.044  (-0.01452 0 0) 
0.045  (-0.01485 0 0) 
0.046  (-0.01518 0 0) 
0.047  (-0.01551 0 0) 
0.048  (-0.01584 0 0) 
0.049  (-0.01617 0 0) 
0.05  (-0.0165 0 0) 
0.051  (-0.01683 0 0) 
0.052  (-0.01716 0 0) 
0.053  (-0.01749 0 0) 
0.054  (-0.01782 0 0) 
0.055  (-0.01815 0 0) 
0.056  (-0.01848 0 0) 
0.057  (-0.01881 0 0) 
0.058  (-0.01914 0 0) 
0.059  (-0.01947 0 0) 
0.06  (-0.0198 0 0) 
0.061  (-0.02013 0 0) 
0.062  (-0.02046 0 0) 
0.063  (-0.02079 0 0) 
0.064  (-0.02112 0 0) 
0.065  (-0.02145 0 0) 
0.066  (-0.02178 0 0) 
0.067  (-0.02211 0 0) 
0.068  (-0.02244 0 0) 
0.069  (-0.02277 0 0) 
0.07  (-0.0231 0 0) 
0.071  (-0.02343 0 0) 
0.072  (-0.02376 0 0) 
0.073  (-0.02409 0 0) 
0.074  (-0.02442 0 0) 
0.075  (-0.02475 0 0) 
0.076  (-0.02508 0 0) 
0.077  (-0.02541 0 0) 
0.078  (-0.02574 0 0) 
0.079  (-0.02607 0 0) 
