Time(s) Surface_Elevation(m)
36.861000 0.020523 
36.862000 0.020501 
36.863000 0.020480 
36.864000 0.020459 
36.865000 0.020437 
36.866000 0.020416 
36.867000 0.020394 
36.868000 0.020373 
36.869000 0.020352 
36.870000 0.020330 
36.871000 0.020309 
36.872000 0.020287 
36.873000 0.020266 
36.874000 0.020245 
36.875000 0.020223 
36.876000 0.020202 
36.877000 0.020181 
36.878000 0.020159 
36.879000 0.020138 
36.880000 0.020117 
36.881000 0.020095 
36.882000 0.020074 
36.883000 0.020053 
36.884000 0.020032 
36.885000 0.020011 
36.886000 0.019989 
36.887000 0.019968 
36.888000 0.019947 
36.889000 0.019926 
36.890000 0.019905 
36.891000 0.019883 
36.892000 0.019862 
36.893000 0.019841 
36.894000 0.019820 
36.895000 0.019799 
36.896000 0.019778 
36.897000 0.019757 
36.898000 0.019735 
36.899000 0.019714 
36.900000 0.019693 
36.901000 0.019672 
36.902000 0.019651 
36.903000 0.019630 
36.904000 0.019609 
36.905000 0.019588 
36.906000 0.019567 
36.907000 0.019546 
36.908000 0.019525 
36.909000 0.019503 
36.910000 0.019482 
36.911000 0.019461 
36.912000 0.019440 
36.913000 0.019419 
36.914000 0.019398 
36.915000 0.019377 
36.916000 0.019356 
36.917000 0.019335 
36.918000 0.019314 
36.919000 0.019293 
36.920000 0.019272 
36.921000 0.019251 
36.922000 0.019230 
36.923000 0.019209 
36.924000 0.019188 
36.925000 0.019168 
36.926000 0.019147 
36.927000 0.019126 
36.928000 0.019105 
36.929000 0.019084 
36.930000 0.019064 
36.931000 0.019043 
36.932000 0.019022 
36.933000 0.019001 
36.934000 0.018981 
36.935000 0.018960 
36.936000 0.018939 
36.937000 0.018919 
36.938000 0.018898 
36.939000 0.018877 
36.940000 0.018857 
36.941000 0.018836 
36.942000 0.018816 
36.943000 0.018795 
36.944000 0.018775 
36.945000 0.018754 
36.946000 0.018734 
36.947000 0.018713 
36.948000 0.018693 
36.949000 0.018672 
36.950000 0.018652 
36.951000 0.018632 
36.952000 0.018611 
36.953000 0.018591 
36.954000 0.018571 
36.955000 0.018551 
36.956000 0.018530 
36.957000 0.018510 
36.958000 0.018490 
36.959000 0.018470 
36.960000 0.018450 
36.961000 0.018430 
36.962000 0.018410 
36.963000 0.018390 
36.964000 0.018370 
36.965000 0.018350 
36.966000 0.018330 
36.967000 0.018310 
36.968000 0.018290 
36.969000 0.018270 
36.970000 0.018250 
36.971000 0.018231 
36.972000 0.018211 
36.973000 0.018191 
36.974000 0.018172 
36.975000 0.018152 
36.976000 0.018132 
36.977000 0.018113 
36.978000 0.018093 
36.979000 0.018074 
36.980000 0.018054 
36.981000 0.018035 
36.982000 0.018015 
36.983000 0.017996 
36.984000 0.017976 
36.985000 0.017957 
36.986000 0.017938 
36.987000 0.017918 
36.988000 0.017899 
36.989000 0.017880 
36.990000 0.017861 
36.991000 0.017841 
36.992000 0.017822 
36.993000 0.017803 
36.994000 0.017784 
36.995000 0.017765 
36.996000 0.017746 
36.997000 0.017727 
36.998000 0.017708 
36.999000 0.017689 
37.000000 0.017670 
37.001000 0.017651 
37.002000 0.017632 
37.003000 0.017613 
37.004000 0.017594 
37.005000 0.017575 
37.006000 0.017557 
37.007000 0.017538 
37.008000 0.017519 
37.009000 0.017500 
37.010000 0.017481 
37.011000 0.017463 
37.012000 0.017444 
37.013000 0.017425 
37.014000 0.017406 
37.015000 0.017388 
37.016000 0.017369 
37.017000 0.017350 
37.018000 0.017332 
37.019000 0.017313 
37.020000 0.017294 
37.021000 0.017276 
37.022000 0.017257 
37.023000 0.017239 
37.024000 0.017220 
37.025000 0.017201 
37.026000 0.017183 
37.027000 0.017164 
37.028000 0.017145 
37.029000 0.017127 
37.030000 0.017108 
37.031000 0.017090 
37.032000 0.017071 
37.033000 0.017052 
37.034000 0.017034 
37.035000 0.017015 
37.036000 0.016996 
37.037000 0.016977 
37.038000 0.016959 
37.039000 0.016940 
37.040000 0.016921 
37.041000 0.016902 
37.042000 0.016884 
37.043000 0.016865 
37.044000 0.016846 
37.045000 0.016827 
37.046000 0.016808 
37.047000 0.016789 
37.048000 0.016770 
37.049000 0.016751 
37.050000 0.016732 
37.051000 0.016713 
37.052000 0.016694 
37.053000 0.016675 
37.054000 0.016655 
37.055000 0.016636 
37.056000 0.016617 
37.057000 0.016597 
37.058000 0.016578 
37.059000 0.016559 
37.060000 0.016539 
37.061000 0.016520 
37.062000 0.016500 
37.063000 0.016480 
37.064000 0.016460 
37.065000 0.016441 
37.066000 0.016421 
37.067000 0.016401 
37.068000 0.016381 
