# Forces      
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.017         	((-6.5798035e+00 -5.4393682e+02 -1.3281186e-15) (2.8312780e-03 -2.5255224e-04 -2.6246063e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5150050e+02 2.3552505e+00 1.8851129e-04) (-2.7069575e-04 -8.9358973e-04 -3.1531334e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.018         	((-6.5918778e+00 -5.4383406e+02 -1.3281725e-15) (2.8074106e-03 -2.5348149e-04 -2.6285786e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5146661e+02 2.3602352e+00 1.8884856e-04) (-2.7123603e-04 -8.8633269e-04 -3.1304609e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.019         	((-6.6036246e+00 -5.4373058e+02 -1.3282048e-15) (2.7838472e-03 -2.5438296e-04 -2.6325456e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5143257e+02 2.3651813e+00 1.8917407e-04) (-2.7176942e-04 -8.7916578e-04 -3.1077751e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.02          	((-6.6152604e+00 -5.4362692e+02 -1.3282191e-15) (2.7605488e-03 -2.5525913e-04 -2.6365078e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5139855e+02 2.3701261e+00 1.8949561e-04) (-2.7229668e-04 -8.7207739e-04 -3.0850745e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.021         	((-6.6194504e+00 -5.4354606e+02 -1.3282427e-15) (2.7375418e-03 -2.5610837e-04 -2.6404061e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5137015e+02 2.3735069e+00 1.8960311e-04) (-2.7281537e-04 -8.6504942e-04 -3.0624352e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.022         	((-6.6368815e+00 -5.4342054e+02 -1.3282171e-15) (2.7146974e-03 -2.5694565e-04 -2.6443527e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5133094e+02 2.3796592e+00 1.9008294e-04) (-2.7333236e-04 -8.5808973e-04 -3.0397108e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.023         	((-6.6469380e+00 -5.4331683e+02 -1.3281946e-15) (2.6920530e-03 -2.5776660e-04 -2.6482887e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5129696e+02 2.3842478e+00 1.9035089e-04) (-2.7384482e-04 -8.5118282e-04 -3.0169775e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.024         	((-6.6571288e+00 -5.4321261e+02 -1.3281577e-15) (2.6695828e-03 -2.5857307e-04 -2.6522174e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5126294e+02 2.3888641e+00 1.9062221e-04) (-2.7435347e-04 -8.4432334e-04 -2.9942311e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.025         	((-6.6668916e+00 -5.4310827e+02 -1.3281101e-15) (2.6472686e-03 -2.5936678e-04 -2.6561392e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5122889e+02 2.3933458e+00 1.9088155e-04) (-2.7485853e-04 -8.3750648e-04 -2.9714716e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.026         	((-6.6765099e+00 -5.4300318e+02 -1.3280508e-15) (2.6250966e-03 -2.6014865e-04 -2.6600546e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5119462e+02 2.3977947e+00 1.9113429e-04) (-2.7536015e-04 -8.3072770e-04 -2.9486991e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.027         	((-6.6858026e+00 -5.4289745e+02 -1.3279815e-15) (2.6030553e-03 -2.6092010e-04 -2.6639638e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5116012e+02 2.4021750e+00 1.9137678e-04) (-2.7585874e-04 -8.2398292e-04 -2.9259149e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.028         	((-6.6948418e+00 -5.4279139e+02 -1.3279016e-15) (2.5811341e-03 -2.6168220e-04 -2.6678665e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5112552e+02 2.4064785e+00 1.9161127e-04) (-2.7635452e-04 -8.1726863e-04 -2.9031192e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.029         	((-6.7036492e+00 -5.4268513e+02 -1.3278147e-15) (2.5593231e-03 -2.6243566e-04 -2.6717628e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5109089e+02 2.4106987e+00 1.9183876e-04) (-2.7684770e-04 -8.1058191e-04 -2.8803123e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.03          	((-6.7123264e+00 -5.4257818e+02 -1.3277206e-15) (2.5376125e-03 -2.6318124e-04 -2.6756544e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5105601e+02 2.4148642e+00 1.9205961e-04) (-2.7733847e-04 -8.0392018e-04 -2.8574938e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.031         	((-6.7210237e+00 -5.4247038e+02 -1.3276212e-15) (2.5159936e-03 -2.6391981e-04 -2.6795425e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5102086e+02 2.4190494e+00 1.9228213e-04) (-2.7782712e-04 -7.9728091e-04 -2.8346633e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.032         	((-6.7294151e+00 -5.4236247e+02 -1.3275153e-15) (2.4944606e-03 -2.6465208e-04 -2.6834258e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5098566e+02 2.4231250e+00 1.9249425e-04) (-2.7831359e-04 -7.9066186e-04 -2.8118216e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.033         	((-6.7376341e+00 -5.4225447e+02 -1.3274010e-15) (2.4730085e-03 -2.6537903e-04 -2.6873022e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5095040e+02 2.4271630e+00 1.9270219e-04) (-2.7879804e-04 -7.8406079e-04 -2.7889701e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.034         	((-6.7456259e+00 -5.4214617e+02 -1.3272819e-15) (2.4516316e-03 -2.6610107e-04 -2.6911719e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5091505e+02 2.4311025e+00 1.9290248e-04) (-2.7928052e-04 -7.7747617e-04 -2.7661081e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.035         	((-6.7535787e+00 -5.4203782e+02 -1.3271552e-15) (2.4303249e-03 -2.6681935e-04 -2.6950342e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5087967e+02 2.4350333e+00 1.9310238e-04) (-2.7976116e-04 -7.7090621e-04 -2.7432356e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.036         	((-6.7614549e+00 -5.4192895e+02 -1.3270278e-15) (2.4090840e-03 -2.6753396e-04 -2.6988893e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5084412e+02 2.4389057e+00 1.9329897e-04) (-2.8024003e-04 -7.6434945e-04 -2.7203524e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.037         	((-6.7691681e+00 -5.4181996e+02 -1.3269086e-15) (2.3879056e-03 -2.6824537e-04 -2.7027373e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5080853e+02 2.4427185e+00 1.9349279e-04) (-2.8071725e-04 -7.5780443e-04 -2.6974593e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.038         	((-6.7769672e+00 -5.4171050e+02 -1.3267948e-15) (2.3667864e-03 -2.6895350e-04 -2.7065778e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5077275e+02 2.4465376e+00 1.9368871e-04) (-2.8119269e-04 -7.5126974e-04 -2.6745558e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.039         	((-6.7848062e+00 -5.4160079e+02 -1.3266913e-15) (2.3457230e-03 -2.6965854e-04 -2.7104106e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5073686e+02 2.4503484e+00 1.9388671e-04) (-2.8166648e-04 -7.4474410e-04 -2.6516414e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.04          	((-6.7927697e+00 -5.4149065e+02 -1.3265967e-15) (2.3247118e-03 -2.7036079e-04 -2.7142348e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5070084e+02 2.4541489e+00 1.9408901e-04) (-2.8213880e-04 -7.3822621e-04 -2.6287154e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.041         	((-6.8007939e+00 -5.4137989e+02 -1.3265130e-15) (2.3037499e-03 -2.7105985e-04 -2.7180497e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5066463e+02 2.4579446e+00 1.9429205e-04) (-2.8260966e-04 -7.3171480e-04 -2.6057776e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.042         	((-6.8086174e+00 -5.4126953e+02 -1.3264341e-15) (2.2828354e-03 -2.7175610e-04 -2.7218538e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5062847e+02 2.4616680e+00 1.9449204e-04) (-2.8307896e-04 -7.2520890e-04 -2.5828284e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.043         	((-6.8167272e+00 -5.4115849e+02 -1.3263642e-15) (2.2619648e-03 -2.7245047e-04 -2.7256466e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5059207e+02 2.4654407e+00 1.9470145e-04) (-2.8354659e-04 -7.1870746e-04 -2.5598659e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.044         	((-6.8247979e+00 -5.4104770e+02 -1.3263050e-15) (2.2411355e-03 -2.7314326e-04 -2.7294269e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5055579e+02 2.4691476e+00 1.9491066e-04) (-2.8401255e-04 -7.1220958e-04 -2.5368899e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.045         	((-6.8328690e+00 -5.4093682e+02 -1.3262526e-15) (2.2203456e-03 -2.7383530e-04 -2.7331944e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5051941e+02 2.4728572e+00 1.9512087e-04) (-2.8447697e-04 -7.0571418e-04 -2.5139005e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.046         	((-6.8411031e+00 -5.4082548e+02 -1.3262097e-15) (2.1995925e-03 -2.7452653e-04 -2.7369501e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5048288e+02 2.4766167e+00 1.9533462e-04) (-2.8494001e-04 -6.9922012e-04 -2.4908972e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.047         	((-6.8493563e+00 -5.4071382e+02 -1.3261683e-15) (2.1788717e-03 -2.7521710e-04 -2.7406905e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5044620e+02 2.4803587e+00 1.9554980e-04) (-2.8540163e-04 -6.9272679e-04 -2.4678799e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.048         	((-6.8577490e+00 -5.4060192e+02 -1.3261311e-15) (2.1581795e-03 -2.7590839e-04 -2.7444122e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5040946e+02 2.4841075e+00 1.9577009e-04) (-2.8586161e-04 -6.8623349e-04 -2.4448481e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.049         	((-6.8667386e+00 -5.4048874e+02 -1.3260927e-15) (2.1375129e-03 -2.7660125e-04 -2.7481192e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5037219e+02 2.4881672e+00 1.9601017e-04) (-2.8632078e-04 -6.7973812e-04 -2.4217992e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.05          	((-6.8750214e+00 -5.4037663e+02 -1.3260731e-15) (2.1168716e-03 -2.7729435e-04 -2.7518101e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5033537e+02 2.4917801e+00 1.9622390e-04) (-2.8677754e-04 -6.7324026e-04 -2.3987363e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.051         	((-6.8833944e+00 -5.4026419e+02 -1.3260653e-15) (2.0962534e-03 -2.7798711e-04 -2.7554859e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5029841e+02 2.4954375e+00 1.9644323e-04) (-2.8723257e-04 -6.6673857e-04 -2.3756582e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.052         	((-6.8916606e+00 -5.4015165e+02 -1.3260574e-15) (2.0756541e-03 -2.7867797e-04 -2.7591466e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5026143e+02 2.4989800e+00 1.9665466e-04) (-2.8768504e-04 -6.6023187e-04 -2.3525654e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.053         	((-6.9002604e+00 -5.4003832e+02 -1.3260868e-15) (2.0550686e-03 -2.7936561e-04 -2.7627912e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5022413e+02 2.5025697e+00 1.9686953e-04) (-2.8813389e-04 -6.5371795e-04 -2.3294576e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.054         	((-6.9086554e+00 -5.3992567e+02 -1.3260872e-15) (2.0344917e-03 -2.8005180e-04 -2.7664199e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5018709e+02 2.5062056e+00 1.9709100e-04) (-2.8858196e-04 -6.4719394e-04 -2.3063327e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.055         	((-6.9170954e+00 -5.3981256e+02 -1.3261611e-15) (2.0139164e-03 -2.8073303e-04 -2.7700327e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5014979e+02 2.5099464e+00 1.9730297e-04) (-2.8902708e-04 -6.4065536e-04 -2.2831923e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.056         	((-6.9262076e+00 -5.3969820e+02 -1.3261495e-15) (1.9933393e-03 -2.8141059e-04 -2.7736292e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5011215e+02 2.5136366e+00 1.9753866e-04) (-2.8946799e-04 -6.3410125e-04 -2.2600329e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.057         	((-6.9345263e+00 -5.3958452e+02 -1.3260274e-15) (1.9727671e-03 -2.8207972e-04 -2.7772099e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5007476e+02 2.5169133e+00 1.9773866e-04) (-2.8990169e-04 -6.2753416e-04 -2.2368617e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.058         	((-6.9429053e+00 -5.3947131e+02 -1.3259413e-15) (1.9522023e-03 -2.8274674e-04 -2.7807731e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5003760e+02 2.5201910e+00 1.9796172e-04) (-2.9033190e-04 -6.2095624e-04 -2.2136734e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.059         	((-6.9527619e+00 -5.3935660e+02 -1.3259192e-15) (1.9316427e-03 -2.8341318e-04 -2.7843205e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4999979e+02 2.5241866e+00 1.9822883e-04) (-2.9075995e-04 -6.1436809e-04 -2.1904633e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.06          	((-6.9615912e+00 -5.3924243e+02 -1.3259321e-15) (1.9110928e-03 -2.8407744e-04 -2.7878499e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4996220e+02 2.5277796e+00 1.9845286e-04) (-2.9118496e-04 -6.0777211e-04 -2.1672363e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.061         	((-6.9702174e+00 -5.3912832e+02 -1.3259434e-15) (1.8905567e-03 -2.8474019e-04 -2.7913597e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4992466e+02 2.5312019e+00 1.9866702e-04) (-2.9160473e-04 -6.0117088e-04 -2.1439948e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.062         	((-6.9797767e+00 -5.3901345e+02 -1.3259298e-15) (1.8700329e-03 -2.8540356e-04 -2.7948508e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4988679e+02 2.5350727e+00 1.9892425e-04) (-2.9202198e-04 -5.9456572e-04 -2.1207335e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.063         	((-6.9887779e+00 -5.3889822e+02 -1.3259489e-15) (1.8495295e-03 -2.8606192e-04 -2.7983221e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4984890e+02 2.5385970e+00 1.9915338e-04) (-2.9243623e-04 -5.8796290e-04 -2.0974563e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
