experiment "Irregular waves for ECN campaign SOFTWIND SPAR" with ("nantes_main_posn/default.ttf")
/* Wave data read from .dat files prepared with MatLab routine LHEEA_irrwave_generation_SW_SPAR_additionnal.m */
/* Poly-chromatic wave data*/
wave (or run) 1;
Period	Frequency	Amplitude	Height	Direction	Phase
s	Hz	m	m	deg	rad
2.23581	0.447266	0.000769867	0.00153973	0	0.72097
2.23094	0.448242	0.000777123	0.00155425	0	5.96582
2.22609	0.449219	0.000784331	0.00156866	0	2.82688
2.22126	0.450195	0.00079149	0.00158298	0	3.63413
2.21645	0.451172	0.000798598	0.0015972	0	2.5644
2.21166	0.452148	0.000805655	0.00161131	0	1.48928
2.2069	0.453125	0.000812659	0.00162532	0	5.6761
2.20215	0.454102	0.000819611	0.00163922	0	3.60453
2.19742	0.455078	0.000826509	0.00165302	0	0.0180348
2.19272	0.456055	0.000833352	0.0016667	0	3.87764
2.18803	0.457031	0.00084014	0.00168028	0	2.05237
2.18337	0.458008	0.000846871	0.00169374	0	3.3116
2.17872	0.458984	0.000853546	0.00170709	0	5.56654
2.1741	0.459961	0.000860163	0.00172033	0	2.24479
2.16949	0.460938	0.000866722	0.00173344	0	5.70849
2.1649	0.461914	0.000873222	0.00174644	0	3.91669
2.16034	0.462891	0.000879662	0.00175932	0	0.0994078
2.15579	0.463867	0.000886043	0.00177209	0	5.83983
2.15126	0.464844	0.000892362	0.00178472	0	4.34103
2.14675	0.46582	0.000898621	0.00179724	0	6.26636
2.14226	0.466797	0.000904818	0.00180964	0	1.08285
2.13779	0.467773	0.000910953	0.00182191	0	0.861649
2.13333	0.46875	0.000917026	0.00183405	0	5.85967
2.1289	0.469727	0.000923035	0.00184607	0	4.37824
2.12448	0.470703	0.000928981	0.00185796	0	0.414691
2.12008	0.47168	0.000934864	0.00186973	0	4.74671
2.1157	0.472656	0.000940682	0.00188136	0	4.73674
2.11134	0.473633	0.000946437	0.00189287	0	5.79953
2.107	0.474609	0.000952126	0.00190425	0	4.47064
2.10267	0.475586	0.000957751	0.0019155	0	0.780817
2.09836	0.476563	0.00096331	0.00192662	0	0.124911
2.09407	0.477539	0.000968805	0.00193761	0	0.164688
2.0898	0.478516	0.000974233	0.00194847	0	0.177855
2.08554	0.479492	0.000979596	0.00195919	0	1.54699
2.0813	0.480469	0.000984893	0.00196979	0	5.40371
2.07708	0.481445	0.000990124	0.00198025	0	3.38558
2.07287	0.482422	0.000995288	0.00199058	0	3.47348
2.06869	0.483398	0.00100039	0.00200077	0	5.29064
2.06452	0.484375	0.00100542	0.00201084	0	0.780204
2.06036	0.485352	0.00101038	0.00202077	0	1.75416
2.05622	0.486328	0.00101528	0.00203057	0	3.68043
2.0521	0.487305	0.00102012	0.00204023	0	6.09215
2.048	0.488281	0.00102488	0.00204977	0	3.52506
2.04391	0.489258	0.00102958	0.00205917	0	0.117164
2.03984	0.490234	0.00103422	0.00206843	0	5.03052
2.03579	0.491211	0.00103878	0.00207757	0	1.46382
2.03175	0.492188	0.00104328	0.00208657	0	5.07119
2.02772	0.493164	0.00104772	0.00209544	0	2.437
2.02372	0.494141	0.00105209	0.00210417	0	5.42579
2.01972	0.495117	0.00105639	0.00211278	0	4.6943
2.01575	0.496094	0.00106062	0.00212125	0	3.49496
2.01179	0.49707	0.0010648	0.00212959	0	0.857373
2.00784	0.498047	0.0010689	0.0021378	0	0.376474
2.00391	0.499023	0.00107294	0.00214588	0	0.762423
2	0.5	0.00107691	0.00215383	0	0.279928
1.9961	0.500977	0.00108082	0.00216164	0	0.675406
1.99222	0.501953	0.00108467	0.00216933	0	1.41817
1.98835	0.50293	0.00108844	0.00217689	0	4.47984
1.9845	0.503906	0.00109216	0.00218432	0	3.51681
1.98066	0.504883	0.00109581	0.00219162	0	0.0788916
1.97683	0.505859	0.0010994	0.00219879	0	0.452228
1.97303	0.506836	0.00110292	0.00220584	0	6.07758
1.96923	0.507813	0.00110638	0.00221275	0	3.56948
1.96545	0.508789	0.00110977	0.00221955	0	1.27733
1.96169	0.509766	0.00111311	0.00222621	0	1.58541
1.95793	0.510742	0.00111638	0.00223275	0	4.6736
1.9542	0.511719	0.00111958	0.00223917	0	1.22792
1.95048	0.512695	0.00112273	0.00224546	0	3.65279
1.94677	0.513672	0.00112581	0.00225163	0	6.09482
1.94307	0.514648	0.00112884	0.00225767	0	5.32078
1.93939	0.515625	0.0011318	0.00226359	0	1.50701
1.93573	0.516602	0.0011347	0.00226939	0	3.10245
1.93208	0.517578	0.00113754	0.00227507	0	3.8953
1.92844	0.518555	0.00114032	0.00228063	0	5.20864
1.92481	0.519531	0.00114304	0.00228607	0	0.985149
1.9212	0.520508	0.0011457	0.0022914	0	0.116718
1.9176	0.521484	0.0011483	0.0022966	0	0.439962
1.91402	0.522461	0.00115084	0.00230169	0	3.0558
1.91045	0.523438	0.00115333	0.00230666	0	3.80968
1.90689	0.524414	0.00115576	0.00231151	0	3.5742
1.90335	0.525391	0.00115813	0.00231625	0	1.99405
1.89981	0.526367	0.00116044	0.00232088	0	6.21166
1.8963	0.527344	0.0011627	0.00232539	0	3.64265
1.89279	0.52832	0.0011649	0.00232979	0	2.3885
1.8893	0.529297	0.00116704	0.00233408	0	3.46171
1.88582	0.530273	0.00116913	0.00233826	0	4.68307
1.88235	0.53125	0.00117116	0.00234232	0	4.20491
1.8789	0.532227	0.00117314	0.00234628	0	1.66454
1.87546	0.533203	0.00117507	0.00235013	0	0.416794
1.87203	0.53418	0.00117694	0.00235388	0	2.32531
1.86861	0.535156	0.00117876	0.00235751	0	3.95663
1.86521	0.536133	0.00118052	0.00236104	0	1.32056
1.86182	0.537109	0.00118223	0.00236447	0	4.7297
1.85844	0.538086	0.00118389	0.00236779	0	0.418061
1.85507	0.539063	0.0011855	0.00237101	0	1.63561
1.85172	0.540039	0.00118706	0.00237412	0	5.05642
1.84838	0.541016	0.00118857	0.00237714	0	1.21538
1.84505	0.541992	0.00119003	0.00238005	0	4.01785
1.84173	0.542969	0.00119143	0.00238287	0	3.2966
1.83842	0.543945	0.00119279	0.00238558	0	5.81074
1.83513	0.544922	0.0011941	0.0023882	0	1.65434
1.83184	0.545898	0.00119536	0.00239072	0	0.414446
1.82857	0.546875	0.00119657	0.00239315	0	4.61856
1.82531	0.547852	0.00119774	0.00239548	0	4.85174
1.82206	0.548828	0.00119886	0.00239771	0	5.70398
1.81883	0.549805	0.00119993	0.00239985	0	5.85575
1.8156	0.550781	0.00120095	0.0024019	0	0.0876603
1.81239	0.551758	0.00120193	0.00240386	0	1.47254
1.80919	0.552734	0.00120286	0.00240573	0	3.87533
1.806	0.553711	0.00120375	0.00240751	0	5.96285
1.80282	0.554688	0.0012046	0.00240919	0	5.97013
1.79965	0.555664	0.0012054	0.00241079	0	3.49756
1.79649	0.556641	0.00120615	0.00241231	0	5.75292
1.79335	0.557617	0.00120687	0.00241374	0	4.03108
1.79021	0.558594	0.00120754	0.00241508	0	2.45049
1.78709	0.55957	0.00120817	0.00241633	0	3.05357
1.78397	0.560547	0.00120875	0.00241751	0	3.79699
1.78087	0.561523	0.0012093	0.0024186	0	3.45291
1.77778	0.5625	0.0012098	0.00241961	0	5.81937
1.7747	0.563477	0.00121027	0.00242054	0	5.77257
1.77163	0.564453	0.00121069	0.00242138	0	2.48108
1.76857	0.56543	0.00121108	0.00242215	0	6.05236
1.76552	0.566406	0.00121142	0.00242284	0	1.093
1.76248	0.567383	0.00121173	0.00242346	0	0.793752
1.75945	0.568359	0.001212	0.00242399	0	0.848727
1.75643	0.569336	0.00121223	0.00242445	0	3.17717
1.75342	0.570313	0.00121242	0.00242484	0	0.135244
1.75043	0.571289	0.00121258	0.00242515	0	5.95627
1.74744	0.572266	0.0012127	0.00242539	0	5.19692
1.74446	0.573242	0.00121278	0.00242556	0	0.094367
1.7415	0.574219	0.00121283	0.00242565	0	1.10707
1.73854	0.575195	0.00121284	0.00242568	0	2.08642
1.73559	0.576172	0.00121282	0.00242563	0	0.823077
1.73266	0.577148	0.00121276	0.00242552	0	5.08618
1.72973	0.578125	0.00121267	0.00242533	0	2.16604
1.72681	0.579102	0.00121254	0.00242508	0	5.90687
1.72391	0.580078	0.00121238	0.00242477	0	3.6569
1.72101	0.581055	0.00121219	0.00242438	0	5.52186
1.71812	0.582031	0.00121197	0.00242394	0	5.30762
1.71524	0.583008	0.00121171	0.00242342	0	5.68875
1.71237	0.583984	0.00121142	0.00242285	0	2.88951
1.70952	0.584961	0.00121111	0.00242221	0	3.4328
1.70667	0.585938	0.00121076	0.00242151	0	5.01777
1.70383	0.586914	0.00121038	0.00242075	0	1.79522
1.701	0.587891	0.00120997	0.00241993	0	3.08035
1.69818	0.588867	0.00120953	0.00241905	0	3.76432
1.69536	0.589844	0.00120906	0.00241811	0	0.0975984
1.69256	0.59082	0.00120856	0.00241712	0	3.72895
