experiment "Irregular waves for ECN campaign SOFTWIND SPAR" with ("nantes_main_posn/default.ttf")
/* Wave data read from .dat files prepared with MatLab routine LHEEA_irrwave_generation_SW_SPAR_additionnal.m */
/* Poly-chromatic wave data*/
wave (or run) 1;
Period	Frequency	Amplitude	Height	Direction	Phase
s	Hz	m	m	deg	rad
3.79259	0.263672	0.00034266	0.00068532	0	2.62023
3.7786	0.264648	0.000360498	0.000720995	0	4.52593
3.76471	0.265625	0.000378861	0.000757722	0	0.000718638
3.75092	0.266602	0.000397746	0.000795492	0	1.89961
3.73723	0.267578	0.000417148	0.000834297	0	0.922094
3.72364	0.268555	0.000437063	0.000874126	0	0.580181
3.71014	0.269531	0.000457484	0.000914968	0	1.17031
3.69675	0.270508	0.000478404	0.000956809	0	2.17122
3.68345	0.271484	0.000499817	0.000999633	0	2.49296
3.67025	0.272461	0.000521713	0.00104343	0	3.38549
3.65714	0.273438	0.000544085	0.00108817	0	2.63388
3.64413	0.274414	0.000566923	0.00113385	0	4.30536
3.63121	0.275391	0.000590218	0.00118044	0	1.28461
3.61837	0.276367	0.000613958	0.00122792	0	5.51737
3.60563	0.277344	0.000638133	0.00127627	0	0.172081
3.59298	0.27832	0.000662732	0.00132546	0	4.21267
3.58042	0.279297	0.000687743	0.00137549	0	2.622
3.56794	0.280273	0.000713153	0.00142631	0	3.51035
3.55556	0.28125	0.000738949	0.0014779	0	0.882077
3.54325	0.282227	0.00076512	0.00153024	0	1.24471
3.53103	0.283203	0.00079165	0.0015833	0	5.03123
3.5189	0.28418	0.000818527	0.00163705	0	6.08377
3.50685	0.285156	0.000845735	0.00169147	0	1.9693
3.49488	0.286133	0.000873262	0.00174652	0	4.34999
3.48299	0.287109	0.000901092	0.00180218	0	5.50652
3.47119	0.288086	0.000929211	0.00185842	0	5.62098
3.45946	0.289063	0.000957603	0.00191521	0	0.534349
3.44781	0.290039	0.000986254	0.00197251	0	0.245388
3.43624	0.291016	0.00101515	0.0020303	0	1.06708
3.42475	0.291992	0.00104427	0.00208854	0	5.51753
3.41333	0.292969	0.0010736	0.00214721	0	0.617931
3.40199	0.293945	0.00110314	0.00220627	0	2.6459
3.39073	0.294922	0.00113285	0.0022657	0	6.0186
3.37954	0.295898	0.00116273	0.00232546	0	3.34998
3.36842	0.296875	0.00119276	0.00238552	0	4.34719
3.35738	0.297852	0.00122293	0.00244585	0	1.98244
3.34641	0.298828	0.00125321	0.00250642	0	4.31341
3.3355	0.299805	0.0012836	0.00256721	0	5.24411
3.32468	0.300781	0.00131409	0.00262817	0	0.114909
3.31392	0.301758	0.00134464	0.00268928	0	4.7133
3.30323	0.302734	0.00137526	0.00275051	0	6.2132
3.2926	0.303711	0.00140592	0.00281184	0	4.70086
3.28205	0.304688	0.00143661	0.00287322	0	1.76208
3.27157	0.305664	0.00146732	0.00293464	0	4.95919
3.26115	0.306641	0.00149803	0.00299606	0	0.648588
3.25079	0.307617	0.00152873	0.00305746	0	2.8142
3.24051	0.308594	0.00155941	0.00311881	0	5.70887
3.23028	0.30957	0.00159004	0.00318009	0	1.84483
3.22013	0.310547	0.00162063	0.00324126	0	1.80815
3.21003	0.311523	0.00165115	0.0033023	0	0.816994
3.2	0.3125	0.00168159	0.00336318	0	0.121686
3.19003	0.313477	0.00171195	0.00342389	0	4.26525
3.18012	0.314453	0.0017422	0.00348439	0	1.3297
3.17028	0.31543	0.00177234	0.00354467	0	1.66848
3.16049	0.316406	0.00180235	0.0036047	0	3.08865
3.15077	0.317383	0.00183223	0.00366445	0	0.335287
3.1411	0.318359	0.00186196	0.00372391	0	3.60729
3.1315	0.319336	0.00189153	0.00378305	0	0.921923
3.12195	0.320313	0.00192093	0.00384186	0	3.70272
3.11246	0.321289	0.00195016	0.00390031	0	4.39671
3.10303	0.322266	0.0019792	0.00395839	0	0.642986
3.09366	0.323242	0.00200804	0.00401607	0	2.60159
3.08434	0.324219	0.00203667	0.00407334	0	4.36304
3.07508	0.325195	0.00206509	0.00413019	0	2.60237
3.06587	0.326172	0.00209329	0.00418658	0	0.313867
3.05672	0.327148	0.00212126	0.00424251	0	3.36714
3.04762	0.328125	0.00214898	0.00429797	0	4.17074
3.03858	0.329102	0.00217646	0.00435293	0	3.23514
3.02959	0.330078	0.00220369	0.00440738	0	5.93506
3.02065	0.331055	0.00223066	0.00446131	0	3.68543
3.01176	0.332031	0.00225736	0.00451471	0	5.67624
3.00293	0.333008	0.00228378	0.00456757	0	0.863779
2.99415	0.333984	0.00230993	0.00461986	0	0.875099
2.98542	0.334961	0.00233579	0.00467158	0	5.07299
2.97674	0.335938	0.00236136	0.00472273	0	2.49868
2.96812	0.336914	0.00238664	0.00477328	0	1.03895
2.95954	0.337891	0.00241162	0.00482323	0	5.82771
2.95101	0.338867	0.00243629	0.00487257	0	2.18508
2.94253	0.339844	0.00246065	0.0049213	0	4.71749
2.9341	0.34082	0.0024847	0.0049694	0	4.56158
2.92571	0.341797	0.00250843	0.00501687	0	5.54998
2.91738	0.342773	0.00253185	0.00506369	0	3.91865
2.90909	0.34375	0.00255494	0.00510987	0	4.71831
2.90085	0.344727	0.0025777	0.0051554	0	2.19219
2.89266	0.345703	0.00260014	0.00520027	0	1.69601
2.88451	0.34668	0.00262224	0.00524448	0	5.62902
2.8764	0.347656	0.00264401	0.00528802	0	2.68978
2.86835	0.348633	0.00266545	0.00533089	0	6.06227
2.86034	0.349609	0.00268654	0.00537309	0	4.16853
2.85237	0.350586	0.0027073	0.0054146	0	3.90623
2.84444	0.351563	0.00272772	0.00545544	0	0.72097
2.83657	0.352539	0.0027478	0.0054956	0	5.96582
2.82873	0.353516	0.00276753	0.00553507	0	2.82688
2.82094	0.354492	0.00278692	0.00557385	0	3.63413
2.81319	0.355469	0.00280597	0.00561195	0	2.5644
2.80548	0.356445	0.00282468	0.00564935	0	1.48928
2.79781	0.357422	0.00284304	0.00568607	0	5.6761
2.79019	0.358398	0.00286105	0.0057221	0	3.60453
2.78261	0.359375	0.00287872	0.00575745	0	0.0180348
2.77507	0.360352	0.00289605	0.0057921	0	3.87764
2.76757	0.361328	0.00291303	0.00582607	0	2.05237
2.76011	0.362305	0.00292968	0.00585935	0	3.3116
2.75269	0.363281	0.00294597	0.00589195	0	5.56654
2.74531	0.364258	0.00296193	0.00592386	0	2.24479
2.73797	0.365234	0.00297755	0.0059551	0	5.70849
2.73067	0.366211	0.00299283	0.00598565	0	3.91669
2.7234	0.367188	0.00300777	0.00601553	0	0.0994078
2.71618	0.368164	0.00302237	0.00604474	0	5.83983
2.70899	0.369141	0.00303664	0.00607327	0	4.34103
2.70185	0.370117	0.00305057	0.00610114	0	6.26636
2.69474	0.371094	0.00306417	0.00612835	0	1.08285
2.68766	0.37207	0.00307745	0.00615489	0	0.861649
2.68063	0.373047	0.00309039	0.00618078	0	5.85967
2.67363	0.374023	0.00310301	0.00620602	0	4.37824
2.66667	0.375	0.0031153	0.0062306	0	0.414691
2.65974	0.375977	0.00312727	0.00625455	0	4.74671
2.65285	0.376953	0.00313893	0.00627785	0	4.73674
2.64599	0.37793	0.00315026	0.00630052	0	5.79953
2.63918	0.378906	0.00316128	0.00632256	0	4.47064
2.63239	0.379883	0.00317199	0.00634397	0	0.780817
2.62564	0.380859	0.00318238	0.00636477	0	0.124911
2.61893	0.381836	0.00319247	0.00638495	0	0.164688
2.61224	0.382813	0.00320226	0.00640452	0	0.177855
2.6056	0.383789	0.00321174	0.00642348	0	1.54699
2.59898	0.384766	0.00322092	0.00644184	0	5.40371
2.59241	0.385742	0.00322981	0.00645962	0	3.38558
2.58586	0.386719	0.0032384	0.0064768	0	3.47348
2.57935	0.387695	0.0032467	0.0064934	0	5.29064
2.57286	0.388672	0.00325471	0.00650943	0	0.780204
2.56642	0.389648	0.00326244	0.00652488	0	1.75416
2.56	0.390625	0.00326988	0.00653977	0	3.68043
2.55362	0.391602	0.00327705	0.0065541	0	6.09215
2.54726	0.392578	0.00328394	0.00656788	0	3.52506
2.54094	0.393555	0.00329055	0.00658111	0	0.117164
2.53465	0.394531	0.0032969	0.0065938	0	5.03052
2.5284	0.395508	0.00330298	0.00660596	0	1.46382
2.52217	0.396484	0.00330879	0.00661759	0	5.07119
2.51597	0.397461	0.00331435	0.00662869	0	2.437
2.5098	0.398438	0.00331964	0.00663928	0	5.42579
2.50367	0.399414	0.00332468	0.00664936	0	4.6943
2.49756	0.400391	0.00332947	0.00665894	0	3.49496
2.49148	0.401367	0.00333401	0.00666802	0	0.857373
2.48544	0.402344	0.00333831	0.00667662	0	0.376474
2.47942	0.40332	0.00334236	0.00668472	0	0.762423
2.47343	0.404297	0.00334618	0.00669235	0	0.279928
2.46747	0.405273	0.00334975	0.00669951	0	0.675406
2.46154	0.40625	0.0033531	0.0067062	0	1.41817
2.45564	0.407227	0.00335622	0.00671243	0	4.47984
2.44976	0.408203	0.00335911	0.00671821	0	3.51681
2.44391	0.40918	0.00336177	0.00672355	0	0.0788916
2.4381	0.410156	0.00336422	0.00672844	0	0.452228
2.4323	0.411133	0.00336645	0.0067329	0	6.07758
2.42654	0.412109	0.00336847	0.00673693	0	3.56948
2.4208	0.413086	0.00337027	0.00674055	0	1.27733
2.41509	0.414063	0.00337187	0.00674374	0	1.58541
2.40941	0.415039	0.00337326	0.00674653	0	4.6736
2.40376	0.416016	0.00337446	0.00674891	0	1.22792
2.39813	0.416992	0.00337545	0.0067509	0	3.65279
2.39252	0.417969	0.00337625	0.0067525	0	6.09482
2.38695	0.418945	0.00337685	0.00675371	0	5.32078
2.3814	0.419922	0.00337727	0.00675454	0	1.50701
2.37587	0.420898	0.0033775	0.006755	0	3.10245
2.37037	0.421875	0.00337755	0.00675509	0	3.8953
2.3649	0.422852	0.00337741	0.00675483	0	5.20864
2.35945	0.423828	0.0033771	0.0067542	0	0.985149
2.35402	0.424805	0.00337662	0.00675323	0	0.116718
2.34862	0.425781	0.00337596	0.00675192	0	0.439962
2.34325	0.426758	0.00337513	0.00675026	0	3.0558
2.3379	0.427734	0.00337414	0.00674828	0	3.80968
2.33257	0.428711	0.00337298	0.00674596	0	3.5742
2.32727	0.429688	0.00337167	0.00674333	0	1.99405
2.322	0.430664	0.00337019	0.00674038	0	6.21166
2.31674	0.431641	0.00336856	0.00673712	0	3.64265
2.31151	0.432617	0.00336678	0.00673356	0	2.3885
2.30631	0.433594	0.00336485	0.0067297	0	3.46171
2.30112	0.43457	0.00336277	0.00672554	0	4.68307
2.29596	0.435547	0.00336055	0.0067211	0	4.20491
2.29083	0.436523	0.00335819	0.00671637	0	1.66454
2.28571	0.4375	0.00335568	0.00671137	0	0.416794
2.28062	0.438477	0.00335304	0.00670609	0	2.32531
2.27556	0.439453	0.00335027	0.00670054	0	3.95663
2.27051	0.44043	0.00334736	0.00669473	0	1.32056
2.26549	0.441406	0.00334433	0.00668866	0	4.7297
2.26049	0.442383	0.00334117	0.00668234	0	0.418061
2.25551	0.443359	0.00333789	0.00667577	0	1.63561
2.25055	0.444336	0.00333448	0.00666896	0	5.05642
2.24561	0.445313	0.00333095	0.00666191	0	1.21538
2.2407	0.446289	0.00332731	0.00665462	0	4.01785
2.23581	0.447266	0.00332355	0.0066471	0	3.2966
2.23094	0.448242	0.00331968	0.00663936	0	5.81074
2.22609	0.449219	0.0033157	0.0066314	0	1.65434
2.22126	0.450195	0.00331161	0.00662323	0	0.414446
2.21645	0.451172	0.00330742	0.00661484	0	4.61856
2.21166	0.452148	0.00330312	0.00660625	0	4.85174
2.2069	0.453125	0.00329872	0.00659745	0	5.70398
2.20215	0.454102	0.00329423	0.00658845	0	5.85575
2.19742	0.455078	0.00328963	0.00657926	0	0.0876603
2.19272	0.456055	0.00328494	0.00656988	0	1.47254
2.18803	0.457031	0.00328016	0.00656031	0	3.87533
2.18337	0.458008	0.00327528	0.00655056	0	5.96285
2.17872	0.458984	0.00327032	0.00654064	0	5.97013
2.1741	0.459961	0.00326527	0.00653054	0	3.49756
