# Forces      
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.018         	((-1.9020486e-03 5.2612859e-03 3.3340881e+03) (3.6577955e-07 4.0973808e-07 -4.8659623e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.0476850e-02 3.8901451e-03 -8.1158258e-07) (2.2988318e-07 -9.0162446e-08 1.3458341e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.019         	((-2.5754902e-03 -1.1276098e-02 3.3252443e+03) (3.7087414e-07 4.1383993e-07 -4.8634262e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.0603888e-02 6.5388870e-03 -7.7760963e-07) (2.2610886e-07 -9.1608635e-08 1.3643445e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.02          	((2.0007225e-03 1.1856311e-02 3.3335108e+03) (3.7770045e-07 4.2138304e-07 -4.8609412e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.8042959e-02 -1.1053794e-03 -8.8763478e-07) (2.2734524e-07 -9.5788835e-08 1.3864195e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.021         	((-4.8267082e-03 -1.2766845e-02 3.3257728e+03) (3.8238628e-07 4.2650448e-07 -4.8584764e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.0018718e-02 1.0471466e-02 -8.3799556e-07) (2.2796802e-07 -9.6880287e-08 1.4089280e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.022         	((6.4293355e-03 1.1540222e-02 3.3329531e+03) (3.9016820e-07 4.3163523e-07 -4.8560604e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.5986458e-02 -8.3163357e-03 -9.3850209e-07) (2.2822452e-07 -1.0263526e-07 1.4346325e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.023         	((-7.3872121e-03 -1.0458420e-02 3.3261891e+03) (3.9570916e-07 4.3745431e-07 -4.8536654e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-1.5995053e-02 1.4428351e-02 -9.0220266e-07) (2.2973505e-07 -1.0510283e-07 1.4645038e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.024         	((8.7681444e-03 8.4101399e-03 3.3324436e+03) (4.0278107e-07 4.4219047e-07 -4.8513137e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((9.5367429e-03 -1.2120339e-02 -9.7998426e-07) (2.2827187e-07 -1.1041812e-07 1.4966042e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.025         	((-8.4287356e-03 -5.3468367e-03 3.3265620e+03) (4.0876198e-07 4.4915571e-07 -4.8489778e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-5.7205118e-03 1.7333173e-02 -9.4997164e-07) (2.3231177e-07 -1.1285121e-07 1.5298883e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.026         	((8.6839188e-03 -1.4882855e-03 3.3319493e+03) (4.1506663e-07 4.5051279e-07 -4.8466844e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-7.0467428e-03 -1.3738095e-02 -1.0028270e-06) (2.2683546e-07 -1.1717433e-07 1.5646995e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.027         	((-1.1958691e-02 8.7814667e-03 3.3268766e+03) (4.1849504e-07 4.5975428e-07 -4.8444044e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.4380630e-02 2.3069960e-02 -9.9733801e-07) (2.3307534e-07 -1.1682946e-07 1.6011320e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.028         	((8.9062622e-03 -1.2321101e-02 3.3315103e+03) (4.2246264e-07 4.6234963e-07 -4.8421618e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.0185527e-02 -1.5679372e-02 -1.0203310e-06) (2.3112756e-07 -1.1900162e-07 1.6396038e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.029         	((-6.8636971e-03 1.2249125e-02 3.3271342e+03) (4.2873445e-07 4.6726747e-07 -4.8399317e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.6920720e-02 1.7542897e-02 -1.0269183e-06) (2.3143943e-07 -1.2283662e-07 1.6791600e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
